tau,history,dt,n_steps,tau_grid_units,classification,tail_N_min,tail_N_max,tail_N_mean,tail_N_rsd,max_E,gate_floor_active,clip_N,clip_E,wall_s
148.6,H3,0.02,2000000,7430,settles,89.46792210945729,89.63283878522596,89.54873596697306,0.0006479256940867643,2.259040801101761,False,0,0,0.23
149.5,H1,0.02,2000000,7475,captured,37.74400822420757,80.80367856795405,59.0581799602365,0.23108400132602683,29.996558163001396,False,0,0,0.23
149.5,H2,0.02,2000000,7475,intermediate,89.11975206844372,89.9158360268871,89.53273075587238,0.0030963613296542056,15.0,False,0,0,0.24
149.5,H3,0.02,2000000,7475,settles,89.44766298285411,89.65160808239622,89.55124856911361,0.0007994797535629347,2.2590408009960155,False,0,0,0.24
150.0,H1,0.02,2000000,7500,captured,37.90340179348539,80.77918828621809,58.05063216721912,0.2359586927057902,29.99668378601125,False,0,0,0.23
150.0,H2,0.02,2000000,7500,intermediate,89.00234267922743,89.99726186168742,89.52622199011019,0.0038521864733083253,15.0,False,0,0,0.24
150.0,H3,0.02,2000000,7500,settles,89.43461285610776,89.66354794874997,89.54723764276227,0.000908833158243325,2.259040800939685,False,0,0,0.23
150.4,H1,0.02,2000000,7520,captured,37.85128878325464,80.83079942253087,59.06355996003317,0.2329432172669219,29.9965626293629,False,0,0,0.23
150.4,H2,0.02,2000000,7520,intermediate,88.85748168655144,90.08537658456119,89.48808421795563,0.004716715785346842,15.0,False,0,0,0.23
150.4,H3,0.02,2000000,7520,settles,89.42273096347748,89.67431697016853,89.55216800172715,0.0009955517495669982,2.25904080089583,False,0,0,0.23
151.0,H1,0.02,2000000,7550,captured,37.76964334736368,80.90939604669231,58.265217053546166,0.23709010101781647,29.99637025012257,False,0,0,0.23
151.0,H2,0.02,2000000,7550,intermediate,88.41948802785316,90.30861577601688,89.43765607810171,0.006897863450688517,15.0,False,0,0,0.23
151.0,H3,0.02,2000000,7550,intermediate,89.4026617271903,89.69229204391297,89.55123062618944,0.0011398553729340688,2.259040800831986,False,0,0,0.23
155.0,H1,0.02,2000000,7750,captured,37.23732398919984,81.43691925593343,58.75732348213673,0.24132151580025699,29.997320432585,False,0,0,0.23
155.0,H2,0.02,2000000,7750,captured,37.2373234297018,81.43692058268864,58.637792224833824,0.23979685146453694,29.996968018305907,False,0,0,0.24
155.0,H3,0.02,2000000,7750,intermediate,89.16695910003486,89.88357268493934,89.53488919886038,0.002749995406277368,2.273779644113586,False,0,0,0.24
5.575,H1,0.01,4000000,558,settles,89.54868802649239,89.55515010232273,89.55210456252038,2.4085324330043142e-05,3.269431775108522,False,0,0,0.48
5.575,H2,0.01,4000000,558,captured,69.19972487808516,94.14713635401993,84.01333885723375,0.1013231121143215,20.64569407057472,False,0,0,0.45
5.575,H3,0.01,4000000,558,settles,89.55073463234169,89.55300521636315,89.55178842125831,8.46317769230099e-06,2.486724503010827,False,0,0,0.47
148.3,H1,0.01,4000000,14830,intermediate,88.70384873240393,90.16787889752678,89.45509301556065,0.005698936147454185,2.5193488064883973,False,0,0,0.47
148.3,H2,0.01,4000000,14830,intermediate,89.28346094604086,89.79231895688943,89.53526750170816,0.002010945093284997,15.0,False,0,0,0.47
148.3,H3,0.01,4000000,14830,settles,89.474639904253,89.62655342268998,89.55100565401968,0.000605079034008588,2.2590408169406424,False,0,0,0.47
