cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,19,M2_stockflow_regimeC,76.15834269829288,69.53963768908739,16.992521297305302,17.42130861431487,False
D6_timevarying_r,,33,11.8,19,M3_AR_residual,22.37785384816811,42.564172623509336,16.992521297305302,17.42130861431487,False
D6_timevarying_r,,33,11.8,19,M4_delayed_info,22.836560132093684,44.165079074705325,16.992521297305302,17.42130861431487,False
D6_timevarying_r,,33,11.8,20,M1_autonomous_Schaefer,13.030915174381821,12.52593637009614,17.87390906602231,18.52241154984581,True
D6_timevarying_r,,33,11.8,20,M1b_autonomous_Allee,17.605904842234064,32.73090015677121,17.87390906602231,18.52241154984581,False
D6_timevarying_r,,33,11.8,20,M2_stockflow_regimeC,78.0904483244542,192.30105917931317,17.87390906602231,18.52241154984581,False
D6_timevarying_r,,33,11.8,20,M3_AR_residual,36.736259160642014,143.34702131918905,17.87390906602231,18.52241154984581,False
D6_timevarying_r,,33,11.8,20,M4_delayed_info,53.06224742130743,152.68692766709216,17.87390906602231,18.52241154984581,False
D6_timevarying_r,,33,11.8,21,M1_autonomous_Schaefer,18.1417826774895,15.863263540628951,17.16970133236158,21.619137888478026,False
D6_timevarying_r,,33,11.8,21,M1b_autonomous_Allee,16.152085974499567,16.24046340264222,17.16970133236158,21.619137888478026,False
D6_timevarying_r,,33,11.8,21,M2_stockflow_regimeC,82.63654464770042,112.8201313091782,17.16970133236158,21.619137888478026,False
D6_timevarying_r,,33,11.8,21,M3_AR_residual,31.50414666146632,90.51432108088007,17.16970133236158,21.619137888478026,False
D6_timevarying_r,,33,11.8,21,M4_delayed_info,44.41949347220975,94.68856273638615,17.16970133236158,21.619137888478026,False
D6_timevarying_r,,33,11.8,22,M1_autonomous_Schaefer,18.113188496379248,17.40950487833523,13.949883428375474,20.036639072710404,False
