dgp,truth,sigma,rep,origin,horizon,model,obs,pred,sqerr,band_retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,1,M1b_autonomous_Allee,883.4574316386077,890.713437032096,52.64961427033122,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,5,M1b_autonomous_Allee,910.3735439612939,889.3272558824463,442.9462418978436,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,1,M2_stockflow_regimeC,883.4574316386077,881.648419894352,3.272523490855097,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,5,M2_stockflow_regimeC,910.3735439612939,889.1489910378891,450.4816467984095,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,1,M3_AR_residual,883.4574316386077,880.8310900852625,6.8976699548272995,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,5,M3_AR_residual,910.3735439612939,889.1166766713568,451.8544069819968,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,1,M4_delayed_info,883.4574316386077,888.1143191225937,21.686601038505433,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,5,M4_delayed_info,910.3735439612939,889.3702558457029,441.13811166652516,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,1,M1_autonomous_Schaefer,874.6587425874186,891.9592905151885,299.3089586010638,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,5,M1_autonomous_Schaefer,892.4337177925413,889.5523502354731,8.302278998925098,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,1,M1b_autonomous_Allee,874.6587425874186,888.1145732973498,181.05938009432774,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,5,M1b_autonomous_Allee,892.4337177925413,888.9189487440353,12.35360146433555,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,1,M2_stockflow_regimeC,874.6587425874186,891.9592905151885,299.3089586010638,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,5,M2_stockflow_regimeC,892.4337177925413,889.5523502354731,8.302278998925098,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,1,M3_AR_residual,874.6587425874186,891.8645978519122,296.0414553827024,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,5,M3_AR_residual,892.4337177925413,889.5487045247113,8.32330155555516,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,1,M4_delayed_info,874.6587425874186,892.640891854147,323.35769225089916,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2005,5,M4_delayed_info,892.4337177925413,889.5750822069284,8.171797411332337,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,1,M1_autonomous_Schaefer,901.105790891346,894.1907340511646,47.818011102940645,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,5,M1_autonomous_Schaefer,876.8450058919938,889.0583795706025,149.16649661333227,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,1,M1b_autonomous_Allee,901.105790891346,871.2605665333226,890.7374169807542,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,5,M1b_autonomous_Allee,876.8450058919938,851.770051801745,628.7533226280826,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,1,M2_stockflow_regimeC,901.105790891346,894.1907340511646,47.818011102940645,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,5,M2_stockflow_regimeC,876.8450058919938,889.0583795706025,149.16649661333227,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,1,M3_AR_residual,901.105790891346,895.6541481731778,29.720408326557155,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,5,M3_AR_residual,876.8450058919938,889.1058673638819,150.3287240328305,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,1,M4_delayed_info,901.105790891346,887.3596643184609,188.95599575777914,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2006,5,M4_delayed_info,876.8450058919938,888.8881074252066,145.03629453927365,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,1,M1_autonomous_Schaefer,866.6047916596143,883.8256297304449,296.5572638617689,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,5,M1_autonomous_Schaefer,884.2744425689201,888.9694314555186,22.04292064528324,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,1,M1b_autonomous_Allee,866.6047916596143,902.8853368778425,1316.277961331902,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,5,M1b_autonomous_Allee,884.2744425689201,912.1456748297355,776.8055877363181,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,1,M2_stockflow_regimeC,866.6047916596143,883.8256297304449,296.5572638617689,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,5,M2_stockflow_regimeC,884.2744425689201,888.9694314555186,22.04292064528324,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,1,M3_AR_residual,866.6047916596143,883.2101672589632,275.7384987954524,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,5,M3_AR_residual,884.2744425689201,888.9449973063428,21.814081555261275,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,1,M4_delayed_info,866.6047916596143,887.0112899879017,416.4251740223964,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2007,5,M4_delayed_info,884.2744425689201,889.0672244914381,22.970758556815092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,1,M1_autonomous_Schaefer,910.3735439612939,897.8705518626316,156.3248114192113,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,5,M1_autonomous_Schaefer,897.0218560144398,889.0922915431747,62.87799270394902,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,1,M1b_autonomous_Allee,910.3735439612939,862.4584100733277,2295.8600555017206,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,5,M1b_autonomous_Allee,897.0218560144398,837.9416221949696,3490.474028163271,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,1,M2_stockflow_regimeC,910.3735439612939,897.8705518626316,156.3248114192113,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,5,M2_stockflow_regimeC,897.0218560144398,889.0922915431747,62.87799270394902,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,1,M3_AR_residual,910.3735439612939,899.4037772587603,120.33578150801374,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,5,M3_AR_residual,897.0218560144398,889.1818131323963,61.466272392280366,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,1,M4_delayed_info,910.3735439612939,890.5482840967621,393.04092869621326,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2008,5,M4_delayed_info,897.0218560144398,888.7535973036538,68.3641021084881,False
