dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M3_AR_residual,15.65670052266155,16.522833977281284,27.17668667952417,15.805803282450212,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M4_delayed_info,15.811064823354762,16.4969798589117,27.17668667952417,15.805803282450212,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M1_autonomous_Schaefer,10.376602480772608,11.22800718375447,17.101930282900483,14.955941675285048,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M1b_autonomous_Allee,17.37511932485343,26.74918756719223,17.101930282900483,14.955941675285048,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M2_stockflow_regimeC,10.376602480772608,11.22800718375447,17.101930282900483,14.955941675285048,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M3_AR_residual,10.285133702523014,11.226552883211475,17.101930282900483,14.955941675285048,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M4_delayed_info,10.778216747484533,11.229902984634277,17.101930282900483,14.955941675285048,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M1_autonomous_Schaefer,12.962883768262389,15.457522455852429,25.480824136573897,17.364309261443164,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M1b_autonomous_Allee,20.805414081662196,27.044354500211764,25.480824136573897,17.364309261443164,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M2_stockflow_regimeC,12.962883768262389,15.457522455852429,25.480824136573897,17.364309261443164,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M3_AR_residual,13.089588579814862,15.47490546657946,25.480824136573897,17.364309261443164,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M4_delayed_info,14.491756616785322,15.405674093555561,25.480824136573897,17.364309261443164,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M1_autonomous_Schaefer,11.247520125898737,10.575334156176778,18.42695384046796,16.15064749329972,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M1b_autonomous_Allee,17.594621234526645,25.397485451156864,18.42695384046796,16.15064749329972,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M2_stockflow_regimeC,11.247520125898737,10.575334156176778,18.42695384046796,16.15064749329972,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M3_AR_residual,11.882314724051875,10.586820724087564,18.42695384046796,16.15064749329972,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M4_delayed_info,11.145612162805724,10.573568281642727,18.42695384046796,16.15064749329972,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M1_autonomous_Schaefer,11.78133027449107,12.469506058547749,18.04786808856826,17.97876257248979,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M1b_autonomous_Allee,16.088562656127163,16.779464266476328,18.04786808856826,17.97876257248979,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M2_stockflow_regimeC,11.78133027449107,12.469506058547749,18.04786808856826,17.97876257248979,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M3_AR_residual,12.948542868602466,12.504655639435514,18.04786808856826,17.97876257248979,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M4_delayed_info,11.546716422727883,12.498274157714645,18.04786808856826,17.97876257248979,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M1_autonomous_Schaefer,10.565849455315295,14.72053670037893,26.0809687354677,24.008287169240262,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M1b_autonomous_Allee,21.25868504992048,32.3350583501262,26.0809687354677,24.008287169240262,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M2_stockflow_regimeC,10.565849455315295,14.72053670037893,26.0809687354677,24.008287169240262,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M3_AR_residual,10.383522559229672,14.67117302688724,26.0809687354677,24.008287169240262,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M4_delayed_info,13.881904839365111,14.791904303447948,26.0809687354677,24.008287169240262,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M1_autonomous_Schaefer,16.917042009202046,16.551840317770328,32.22581946074472,26.356618175482502,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M1b_autonomous_Allee,27.07657912399847,34.42561803595928,32.22581946074472,26.356618175482502,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M2_stockflow_regimeC,16.917042009202046,16.551840317770328,32.22581946074472,26.356618175482502,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M3_AR_residual,16.20657840849378,16.42878923422423,32.22581946074472,26.356618175482502,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M4_delayed_info,19.062510285098114,16.662891179188183,32.22581946074472,26.356618175482502,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M1_autonomous_Schaefer,12.93874695647288,12.335698669379608,19.774355775757343,16.011010840649092,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M1b_autonomous_Allee,17.446870622861706,25.66822127810865,19.774355775757343,16.011010840649092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M2_stockflow_regimeC,12.93874695647288,12.335698669379608,19.774355775757343,16.011010840649092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M3_AR_residual,13.35686829381265,12.33674811170541,19.774355775757343,16.011010840649092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M4_delayed_info,12.718809258808886,12.3323452150964,19.774355775757343,16.011010840649092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M1_autonomous_Schaefer,13.341612940338404,13.7098882143265,23.688732866370103,21.06652831912132,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M1b_autonomous_Allee,18.354107036113568,23.609481463327384,23.688732866370103,21.06652831912132,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M2_stockflow_regimeC,13.341612940338404,13.7098882143265,23.688732866370103,21.06652831912132,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M3_AR_residual,13.535088798476625,13.649547245009908,23.688732866370103,21.06652831912132,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M4_delayed_info,14.98851817380235,13.805506606979236,23.688732866370103,21.06652831912132,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M1_autonomous_Schaefer,13.646569773255132,13.98673004781299,24.941173893276225,17.612794372778932,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M1b_autonomous_Allee,19.93649210656667,13.714429597351474,24.941173893276225,17.612794372778932,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M2_stockflow_regimeC,13.646569773255132,13.98673004781299,24.941173893276225,17.612794372778932,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M3_AR_residual,14.49133053830404,15.129791864613132,24.941173893276225,17.612794372778932,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M4_delayed_info,17.03843727025131,13.395882206835987,24.941173893276225,17.612794372778932,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,36,M1_autonomous_Schaefer,10.756126329200047,11.282258751685424,19.199961561324553,18.887151798766364,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,36,M1b_autonomous_Allee,18.108202112003745,25.756812213140396,19.199961561324553,18.887151798766364,False
