K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,60,Z,7.2408706777772488e-09,-4.3096451887841841e-09,7.240870677777248e-09,7.2408706777772496e-09,-4.3096451887841849e-09,-4.3096451887841832e-09
120,370.93117783955665,60,E,5.4296243924745844e-08,3.2490015103143781e-08,5.4296243924745838e-08,5.4296243924745851e-08,3.2490015103143774e-08,3.2490015103143788e-08
120,370.93117783955665,61,N,1.6442712830270832e-09,-1.3363552245658427e-09,1.644271283027083e-09,1.6442712830270834e-09,-1.3363552245658429e-09,-1.3363552245658425e-09
120,370.93117783955665,61,A,6.6455111155586493e-11,8.5201172718456566e-11,6.645511115558648e-11,6.6455111155586506e-11,8.5201172718456554e-11,8.5201172718456579e-11
120,370.93117783955665,61,Z,-6.830669206742023e-09,3.7083080066539747e-10,-6.8306692067420238e-09,-6.8306692067420221e-09,3.7083080066539742e-10,3.7083080066539752e-10
120,370.93117783955665,61,E,-2.9932975696344042e-08,-4.0881009779867701e-08,-2.9932975696344048e-08,-2.9932975696344035e-08,-4.0881009779867708e-08,-4.0881009779867695e-08
120,370.93117783955665,62,N,-1.6049565327812286e-09,4.6535773800171222e-10,-1.6049565327812288e-09,-1.6049565327812284e-09,4.6535773800171217e-10,4.6535773800171227e-10
120,370.93117783955665,62,A,-2.1766965590821471e-11,-8.0974042030283327e-11,-2.1766965590821474e-11,-2.1766965590821467e-11,-8.097404203028334e-11,-8.0974042030283315e-11
120,370.93117783955665,62,Z,5.0541848283717676e-09,2.3088310365897451e-09,5.0541848283717667e-09,5.0541848283717684e-09,2.3088310365897447e-09,2.3088310365897455e-09
120,370.93117783955665,62,E,9.3429410132273847e-09,3.9509341706385501e-08,9.342941013227383e-09,9.3429410132273863e-09,3.9509341706385495e-08,3.9509341706385508e-08
120,370.93117783955665,63,N,1.3098580837212273e-09,1.5562667635696129e-10,1.3098580837212271e-09,1.3098580837212275e-09,1.5562667635696127e-10,1.5562667635696132e-10
120,370.93117783955665,63,A,-8.9724739779381147e-12,6.4509702011194379e-11,-8.9724739779381164e-12,-8.9724739779381131e-12,6.4509702011194366e-11,6.4509702011194392e-11
120,370.93117783955665,63,Z,-2.7668080527867521e-09,-3.5690742699104004e-09,-2.7668080527867525e-09,-2.7668080527867517e-09,-3.5690742699104008e-09,-3.5690742699104e-09
120,370.93117783955665,63,E,5.4374465223413727e-09,-3.2094004477204225e-08,5.4374465223413718e-09,5.4374465223413735e-09,-3.2094004477204232e-08,-3.2094004477204218e-08
120,370.93117783955665,64,N,-9.0491752019252063e-10,-5.1684516525126211e-10,-9.0491752019252073e-10,-9.0491752019252053e-10,-5.1684516525126221e-10,-5.16845165251262e-10
120,370.93117783955665,64,A,2.5960270720895792e-11,-4.3477890265024233e-11,2.5960270720895789e-11,2.5960270720895795e-11,-4.347789026502424e-11,-4.3477890265024227e-11
120,370.93117783955665,64,Z,6.4480476338434929e-10,3.6150330566317897e-09,6.4480476338434919e-10,6.448047633843494e-10,3.6150330566317893e-09,3.6150330566317901e-09
120,370.93117783955665,64,E,-1.4050478227539404e-08,2.2012968984934421e-08,-1.4050478227539406e-08,-1.4050478227539402e-08,2.2012968984934417e-08,2.2012968984934424e-08
120,370.93117783955665,65,N,4.9930557765823128e-10,6.5548092292431669e-10,4.9930557765823117e-10,4.9930557765823138e-10,6.5548092292431658e-10,6.5548092292431679e-10
