depensation fit: {'r': 2.0, 'K': 1671.6596479199984, 's_allee': 642.3296235050077}

                variant   policy     UC   T  boundary_grid  boundary_committed  n_intervals  boundary
depensation_s0=0.5Kstar       S1 UC_q05   3            NaN                 NaN            1   1837.85
depensation_s0=0.5Kstar       S1 UC_q05   5            NaN                 NaN            1   2365.05
depensation_s0=0.5Kstar       S1 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar       S1 UC_q10   1            NaN                 NaN            1   1034.25
depensation_s0=0.5Kstar       S1 UC_q10   3            NaN                 NaN            1   1306.40
depensation_s0=0.5Kstar       S1 UC_q10   5            NaN                 NaN            1   1542.75
depensation_s0=0.5Kstar       S1 UC_q10 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar      cpm UC_min   1            NaN                 NaN            1   1357.60
depensation_s0=0.5Kstar      cpm UC_min   3            NaN                 NaN            1   2203.80
depensation_s0=0.5Kstar      cpm UC_min   5            NaN                 NaN            1   2947.30
depensation_s0=0.5Kstar      cpm UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar      cpm UC_q05   1            NaN                 NaN            1   1225.70
depensation_s0=0.5Kstar      cpm UC_q05   3            NaN                 NaN            1   1837.85
depensation_s0=0.5Kstar      cpm UC_q05   5            NaN                 NaN            1   2365.05
depensation_s0=0.5Kstar      cpm UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar      cpm UC_q10   1            NaN                 NaN            1   1034.25
depensation_s0=0.5Kstar      cpm UC_q10   3            NaN                 NaN            1   1306.40
depensation_s0=0.5Kstar      cpm UC_q10   5            NaN                 NaN            1   1542.75
depensation_s0=0.5Kstar      cpm UC_q10 inf            NaN                 NaN            0       NaN
