class_,q,channel,T_r,rho
cod,0.001,extractive,36,1.07530857
cod,0.001,extractive,37,1.14424684
cod,0.001,extractive,38,1.21177766
cod,0.001,extractive,39,1.27814147
cod,0.001,extractive,40,1.34352776
cod,0.001,extractive,41,1.4080889
cod,0.001,extractive,42,1.47194942
cod,0.001,extractive,43,1.53521233
cod,0.001,extractive,44,1.59796363
cod,0.001,extractive,45,1.66027584
cod,0.001,extractive,46,1.72221029
cod,0.001,extractive,47,1.78381918
cod,0.001,extractive,48,1.84514717
cod,0.001,extractive,49,1.90623249
cod,0.001,extractive,50,1.96710798
cod,0.001,protective,1,0.88234953
cod,0.001,protective,2,0.73264039
cod,0.001,protective,3,0.62709927
cod,0.001,protective,4,0.53676197
cod,0.001,protective,5,0.4594383
cod,0.001,protective,6,0.39325356
cod,0.001,protective,7,0.33660311
cod,0.001,protective,8,0.28811349
cod,0.001,protective,9,0.24660908
cod,0.001,protective,10,0.21108364
cod,0.001,protective,11,0.18067583
cod,0.001,protective,12,0.15464842
cod,0.001,protective,13,0.13237041
cod,0.001,protective,14,0.11330167
cod,0.001,protective,15,0.09697991
cod,0.001,protective,16,0.08300939
cod,0.001,protective,17,0.0710514
cod,0.001,protective,18,0.06081603
cod,0.001,protective,19,0.05205512
cod,0.001,protective,20,0.04455625
cod,0.001,protective,21,0.03813765
cod,0.001,protective,22,0.03264371
cod,0.001,protective,23,0.02794121
cod,0.001,protective,24,0.02391613
cod,0.001,protective,25,0.02047089
cod,0.001,protective,26,0.01752195
cod,0.001,protective,27,0.01499784
cod,0.001,protective,28,0.01283734
cod,0.001,protective,29,0.01098807
cod,0.001,protective,30,0.0094052
cod,0.001,protective,31,0.00805036
cod,0.001,protective,32,0.00689066
cod,0.001,protective,33,0.00589802
cod,0.001,protective,34,0.00504837
cod,0.001,protective,35,0.0043211
cod,0.001,protective,36,0.00369859
cod,0.001,protective,37,0.00316576
cod,0.001,protective,38,0.00270969
cod,0.001,protective,39,0.00231932
cod,0.001,protective,40,0.00198519
cod,0.001,protective,41,0.00169918
cod,0.001,protective,42,0.00145439
cod,0.001,protective,43,0.00124487
cod,0.001,protective,44,0.00106554
cod,0.001,protective,45,0.00091203
cod,0.001,protective,46,0.00078065
cod,0.001,protective,47,0.0006682
cod,0.001,protective,48,0.00057194
cod,0.001,protective,49,0.00048955
cod,0.001,protective,50,0.00041905
cod,0.1,extractive,1,1.90358691
cod,0.1,extractive,2,3.14863534
cod,0.1,extractive,3,4.44401573
cod,0.1,extractive,4,5.59231789
cod,0.1,extractive,5,6.50607733
cod,0.1,extractive,6,7.18927142
cod,0.1,extractive,7,7.70163916
cod,0.1,extractive,8,8.10397839
cod,0.1,extractive,9,8.29311217
cod,0.1,extractive,10,8.24613526
cod,0.1,extractive,11,7.99111225
cod,0.1,extractive,12,7.57765471
cod,0.1,extractive,13,7.05821158
cod,0.1,extractive,14,6.47966767
cod,0.1,extractive,15,5.87964262
cod,0.1,extractive,16,5.26593066
cod,0.1,extractive,17,4.6370885
cod,0.1,extractive,18,3.98717129
cod,0.1,extractive,19,3.29561868
cod,0.1,extractive,20,2.41192492
cod,0.1,extractive,21,1.98150332
cod,0.1,extractive,22,1.87281686
cod,0.1,extractive,23,1.76706555
cod,0.1,extractive,24,1.66473796
cod,0.1,extractive,25,1.56599496
cod,0.1,extractive,26,1.47088185
cod,0.1,extractive,27,1.37945384
cod,0.1,extractive,28,1.291827
cod,0.1,extractive,29,1.20818051
cod,0.1,extractive,30,1.12865934
cod,0.1,extractive,31,1.05331677
cod,0.1,extractive,32,0.98211015
cod,0.1,extractive,33,0.91492707
cod,0.1,extractive,34,0.85161914
cod,0.1,extractive,35,0.79203153
cod,0.1,extractive,36,0.73602204
cod,0.1,extractive,37,0.68345874
cod,0.1,extractive,38,0.63421034
cod,0.1,extractive,39,0.58813747
cod,0.1,extractive,40,0.54509069
cod,0.1,extractive,41,0.90107674
cod,0.1,extractive,42,1.07733776
cod,0.1,extractive,43,1.21762365
cod,0.1,extractive,44,1.33844256
cod,0.1,extractive,45,1.44638229
cod,0.1,extractive,46,1.5449819
cod,0.1,extractive,47,1.63645559
cod,0.1,extractive,48,1.72232406
cod,0.1,extractive,49,1.80369574
cod,0.1,extractive,50,1.881411
cod,0.1,protective,1,0.96424204
cod,0.1,protective,2,0.68495257
cod,0.1,protective,3,0.5668795
cod,0.1,protective,4,0.46916002
cod,0.1,protective,5,0.38828557
cod,0.1,protective,6,0.32135237
cod,0.1,protective,7,0.26595721
cod,0.1,protective,8,0.22011114
cod,0.1,protective,9,0.18216809
cod,0.1,protective,10,0.1507657
cod,0.1,protective,11,0.1247765
cod,0.1,protective,12,0.10326735
cod,0.1,protective,13,0.08546598
cod,0.1,protective,14,0.07073324
cod,0.1,protective,15,0.05854014
cod,0.1,protective,16,0.04844891
cod,0.1,protective,17,0.04009722
cod,0.1,protective,18,0.03318521
cod,0.1,protective,19,0.02746469
cod,0.1,protective,20,0.02273029
cod,0.1,protective,21,0.018812
cod,0.1,protective,22,0.01556916
cod,0.1,protective,23,0.01288533
cod,0.1,protective,24,0.01066414
cod,0.1,protective,25,0.00882584
cod,0.1,protective,26,0.00730444
cod,0.1,protective,27,0.0060453
cod,0.1,protective,28,0.00500321
cod,0.1,protective,29,0.00414075
cod,0.1,protective,30,0.00342697
cod,0.1,protective,31,0.00283622
cod,0.1,protective,32,0.0023473
cod,0.1,protective,33,0.00194267
cod,0.1,protective,34,0.00160778
cod,0.1,protective,35,0.00133063
cod,0.1,protective,36,0.00110125
cod,0.1,protective,37,0.00091142
cod,0.1,protective,38,0.00075431
cod,0.1,protective,39,0.00062428
cod,0.1,protective,40,0.00051666
cod,0.1,protective,41,0.0004276
cod,0.1,protective,42,0.00035389
cod,0.1,protective,43,0.00029288
cod,0.1,protective,44,0.00024239
cod,0.1,protective,45,0.00020061
cod,0.1,protective,46,0.00016603
cod,0.1,protective,47,0.00013742
cod,0.1,protective,48,0.00011374
cod,0.1,protective,49,9.414e-05
cod,0.1,protective,50,7.792e-05
slow_stock,0.001,extractive,1,0.99390113
slow_stock,0.001,extractive,2,0.98829006
slow_stock,0.001,extractive,3,0.98312133
slow_stock,0.001,extractive,4,0.9783429
slow_stock,0.001,extractive,5,0.97389551
slow_stock,0.001,extractive,6,0.96971371
slow_stock,0.001,extractive,7,0.9657243
slow_stock,0.001,extractive,8,0.9618588
slow_stock,0.001,extractive,9,0.95802868
slow_stock,0.001,extractive,10,0.95419534
slow_stock,0.001,extractive,11,0.95025593
slow_stock,0.001,extractive,12,0.94613592
slow_stock,0.001,extractive,13,0.94180616
slow_stock,0.001,extractive,14,0.93727313
slow_stock,0.001,extractive,15,0.93250808
slow_stock,0.001,extractive,16,0.92744484
slow_stock,0.001,extractive,17,0.92204177
slow_stock,0.001,extractive,18,0.91628012
slow_stock,0.001,extractive,19,0.91015979
slow_stock,0.001,extractive,20,0.90369404
slow_stock,0.001,extractive,21,0.89690709
slow_stock,0.001,extractive,22,0.88983277
slow_stock,0.001,extractive,23,0.88251272
slow_stock,0.001,extractive,24,0.87499453
slow_stock,0.001,extractive,25,0.86732983
slow_stock,0.001,extractive,26,0.8595725
slow_stock,0.001,extractive,27,0.85177701
slow_stock,0.001,extractive,28,0.84399678
slow_stock,0.001,extractive,29,0.83622966
slow_stock,0.001,extractive,30,0.82847154
slow_stock,0.001,extractive,31,0.82071739
slow_stock,0.001,extractive,32,0.81296199
slow_stock,0.001,extractive,33,0.80520043
slow_stock,0.001,extractive,34,0.79742846
slow_stock,0.001,extractive,35,0.7896427
slow_stock,0.001,extractive,36,0.78184069
slow_stock,0.001,extractive,37,0.77402092
slow_stock,0.001,extractive,38,0.76618278
