origin,horizon,model,sqerr,abserr,log_sqerr
1990,5,naive_train_mean,647763.9452154858,804.8378378378378,19.363555613785156
1991,1,naive_persist,61504.0,248.0,0.2844072683629232
1991,1,naive_train_mean,209017.4023545707,457.18421052631584,0.692882130336133
1991,5,naive_persist,342225.0,585.0,13.607831626983932
1991,5,naive_train_mean,630728.5602493075,794.1842105263158,15.903955699576649
1992,1,naive_persist,74529.0,273.0,2.232583803123023
1992,1,naive_train_mean,516186.9822485207,718.4615384615385,5.345278123899383
1992,5,naive_persist,110224.0,332.0,8.224844112345789
1992,5,naive_train_mean,604446.4437869822,777.4615384615385,13.584394310973902
1993,1,naive_persist,3249.0,57.0,1.6343203644702884
1993,1,naive_train_mean,573806.25,757.5,12.727842789872227
1993,5,naive_persist,2601.0,51.0,1.0758737511287009
1993,5,naive_train_mean,564752.25,751.5,11.065257483065926
1994,1,naive_persist,144.0,12.0,0.6216650091125926
1994,1,naive_train_mean,564037.6347412254,751.0243902439024,18.76691985222143
1994,5,naive_persist,169.0,13.0,0.21557969774198824
1994,5,naive_train_mean,527111.4152290303,726.0243902439024,9.482195318075323
1995,1,naive_persist,25.0,5.0,0.16440195389316525
1995,1,naive_train_mean,530192.0204081632,728.1428571428571,15.232145202426432
1995,5,naive_persist,576.0,24.0,1.4976263070418956
1995,5,naive_train_mean,502883.5918367347,709.1428571428571,9.514311578319008
1996,1,naive_persist,25.0,5.0,0.08276097481015166
1996,1,naive_train_mean,498731.57869118435,706.2093023255813,12.903225478855328
1996,5,naive_persist,256.0,16.0,0.5269845328805971
1996,5,naive_train_mean,483315.9740400216,695.2093023255813,9.946776533924647
1997,1,naive_persist,64.0,8.0,0.11321356601688151
1997,1,naive_train_mean,465341.0253099173,682.1590909090909,10.454128699732314
1997,5,naive_persist,25.0,5.0,0.04979304449311734
1997,5,naive_train_mean,469442.9798553719,685.1590909090909,11.19981985532759
1998,1,naive_persist,49.0,7.0,0.04979304449311734
1998,1,naive_train_mean,435600.0,660.0,8.931513491486946
1998,5,naive_persist,25.0,5.0,0.038694939862369195
1998,5,naive_train_mean,451584.0,672.0,11.617310738011051
1999,1,naive_persist,1.0,1.0,0.0008402772939781415
1999,1,naive_train_mean,418159.03402646503,646.6521739130435,8.980156309478884
1999,5,naive_persist,196.0,14.0,0.2609428178959133
1999,5,naive_train_mean,435140.99054820416,659.6521739130435,12.100163865450742
2000,1,naive_persist,9.0,3.0,0.008532830272027035
2000,1,naive_train_mean,404360.69216840196,635.8936170212766,9.416571911235843
2000,5,naive_persist,64.0,8.0,0.07196556650367034
2000,5,naive_train_mean,410744.6283386147,640.8936170212766,10.527000880094128
2001,1,naive_persist,36.0,6.0,0.04627290564070573
2001,1,naive_train_mean,395195.5837673612,628.6458333333334,10.6516713760142
2001,5,naive_persist,100.0,10.0,0.07816769518210762
2001,5,naive_train_mean,375334.9171006945,612.6458333333334,7.667325550316582
2002,1,naive_persist,4.0,2.0,0.006952492709264811
2002,1,naive_train_mean,381697.0133277801,617.8163265306123,11.070583631208335
2002,5,naive_persist,3364.0,58.0,1.4399154802683967
2002,5,naive_train_mean,311159.0541441067,557.8163265306123,4.177536472915459
2003,1,naive_persist,4.0,2.0,0.008275864429911925
2003,1,naive_train_mean,369007.65160000004,607.46,11.551501186500888
2003,5,naive_persist,8836.0,94.0,2.6460869077784492
2003,5,naive_train_mean,261591.33160000003,511.46000000000004,2.8260919905612676
2004,1,naive_persist,25.0,5.0,0.045613896318125416
2004,1,naive_train_mean,348748.1445597846,590.5490196078431,10.023817476375964
2004,5,naive_persist,6084.0,78.0,2.404352335376206
2004,5,naive_train_mean,267856.98769703956,517.5490196078431,3.345306778679561
2005,1,naive_persist,225.0,15.0,0.20745795722889968
2005,1,naive_train_mean,318312.96005917166,564.1923076923077,7.246725119161702
2005,5,naive_persist,4225.0,65.0,1.5694150552333255
2005,5,naive_train_mean,264393.72928994085,514.1923076923077,3.5898379373152545
2006,1,naive_persist,1764.0,42.0,0.4974037150544476
2006,1,naive_train_mean,261680.50694197218,511.5471698113207,3.8768013112387893
2006,5,naive_persist,2401.0,49.0,0.6181695693554876
2006,5,naive_train_mean,254567.8465646137,504.5471698113207,3.564507698845041
2007,1,naive_persist,1156.0,34.0,0.11787777342968411
2007,1,naive_train_mean,219093.33882030172,468.074074074074,2.5906979658267155
2007,5,naive_persist,841.0,29.0,0.08979507488293399
2007,5,naive_train_mean,223799.07956104248,473.074074074074,2.73320114283504
2008,1,naive_persist,324.0,18.0,0.027907067202648406
2008,1,naive_train_mean,228067.02677685957,477.5636363636364,3.1045237180983514
2008,5,naive_persist,2500.0,50.0,0.12660778530879951
2008,5,naive_train_mean,167742.372231405,409.5636363636364,1.5353487494802458
2009,1,naive_persist,64.0,8.0,0.007099805506579625
2009,1,naive_train_mean,227563.0727040817,477.03571428571433,3.3537504772796556
2009,5,naive_persist,19321.0,139.0,0.7693935672314359
2009,5,naive_train_mean,108923.57270408167,330.03571428571433,0.7567497068470704
2010,1,naive_persist,1.0,1.0,0.00012209887975035732
2010,1,naive_train_mean,220586.77777777775,469.66666666666663,3.3398721074841187
2010,5,naive_persist,33124.0,182.0,1.2069489608125827
2010,5,naive_train_mean,82177.77777777775,286.66666666666663,0.5153367241614839
2011,1,naive_persist,484.0,22.0,0.047824966618635424
2011,1,naive_train_mean,193220.87544589775,439.5689655172414,2.5416904889278644
2011,5,naive_persist,62001.0,249.0,1.7587810753233604
2011,5,naive_train_mean,45185.56510107016,212.5689655172414,0.23694189255930775
2012,1,naive_persist,3025.0,55.0,0.1595962079817996
2012,1,naive_train_mean,142218.47170353346,377.1186440677966,1.3951708521566266
2012,5,naive_persist,114921.0,339.0,1.9403611534205842
2012,5,naive_train_mean,8671.08187302499,93.1186440677966,0.03523128222423228
2013,1,naive_persist,5041.0,71.0,0.12551209442049582
2013,1,naive_train_mean,89900.0277777778,299.83333333333337,0.6646782974297947
2013,5,naive_persist,40804.0,202.0,0.6285363298306704
2013,5,naive_train_mean,28504.694444444456,168.83333333333337,0.14194212886759786
2014,1,naive_persist,1225.0,35.0,0.018824147744558005
2014,1,naive_train_mean,67557.38376780432,259.9180327868852,0.44742163475569974
2014,5,naive_persist,26244.0,162.0,0.2695622782140033
2014,5,naive_train_mean,17667.203439935485,132.9180327868852,0.08231337765306618
2015,1,naive_persist,4356.0,66.0,0.04688450998222766
2015,1,naive_train_mean,35995.88163371489,189.72580645161293,0.1975534616161047
2015,5,naive_persist,19881.0,141.0,0.1733841120055754
2015,5,naive_train_mean,13162.01066597295,114.72580645161293,0.059831116507040205
2016,1,naive_persist,12544.0,112.0,0.0814915406155264
2016,1,naive_train_mean,5582.224489795911,74.71428571428567,0.02349799045213048
2016,5,naive_persist,7056.0,84.0,0.04900559411362032
2016,5,naive_train_mean,10550.224489795908,102.71428571428567,0.04725654389549277
2017,1,naive_persist,6724.0,82.0,0.04026872801726357
2017,1,naive_train_mean,24194.830322265625,155.546875,0.12371972660991477
2017,5,naive_persist,121.0,11.0,0.0005806919921054579
2017,5,naive_train_mean,3912.111572265625,62.546875,0.0161213564178163
2018,1,naive_persist,961.0,31.0,0.006507310585300258
2018,1,naive_train_mean,14921.562130177523,122.15384615384619,0.07102103571638127
2018,5,naive_persist,3136.0,56.0,0.019963577588064704
2018,5,naive_train_mean,9438.869822485214,97.15384615384619,0.04238373329050126
2019,1,naive_persist,196.0,14.0,0.0011834581601879973
2019,1,naive_train_mean,11300.334251606968,106.30303030303025,0.05223300836292438
2019,5,naive_persist,3364.0,58.0,0.02454041620173304
2019,5,naive_train_mean,31791.970615243325,178.30303030303025,0.17606470998058604
2020,1,naive_persist,81.0,9.0,0.00046251686300619163
2020,1,naive_train_mean,9161.632657607477,95.71641791044772,0.041609942989150266
2021,1,naive_persist,1521.0,39.0,0.007777954456169763
2021,1,naive_train_mean,3059.0659602076066,55.30882352941171,0.01278598789044657
2022,1,naive_persist,1369.0,37.0,0.006968196189686329
2022,1,naive_train_mean,8373.576139466504,91.50724637681162,0.03802505823015581
2023,1,naive_persist,6889.0,83.0,0.04720991695232825
2023,1,naive_train_mean,29998.240000000016,173.20000000000005,0.16789050424865745
