scheme,policy,S0,T,P_stay
iid_no1992,flat_25,2500.0,5,1.0
iid_no1992,flat_50,2500.0,5,1.0
iid_no1992,S1,2500.0,5,1.0
iid_no1992,cpm,2500.0,5,1.0
iid_no1992,BAU,2500.0,10,1.0
iid_no1992,flat_0,2500.0,10,1.0
iid_no1992,flat_25,2500.0,10,1.0
iid_no1992,flat_50,2500.0,10,1.0
iid_no1992,S1,2500.0,10,1.0
iid_no1992,cpm,2500.0,10,1.0
iid_no1992,BAU,2500.0,20,1.0
iid_no1992,flat_0,2500.0,20,1.0
iid_no1992,flat_25,2500.0,20,1.0
iid_no1992,flat_50,2500.0,20,1.0
iid_no1992,S1,2500.0,20,1.0
iid_no1992,cpm,2500.0,20,1.0
