stockid,stocklong,SSB_now,F_now,B_lim,ADH,lastyear,tsn,scientificname,commonname,family,ordername,taxGroup,FisheryType,zero,stocklong_short
CPANDMEDGSA15-16,"Common pandora Malta Island and South of Sicily (GSA 15, 16)",549.0,0.72,300.0,0.8393277317407355,2011,169215,Pagellus erythrinus,Common pandora,Sparidae,Perciformes,other marine percoidids,Other Marine,0,"Common pandora Malta Island and South of Sicily (GSA 15, 16)"
CROCKPCOAST,Canary rockfish Pacific Coast,4260000000.0,0.242,1490000000.0,4.340880331916989,2021,166734,Sebastes pinniger,Canary rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Canary rockfish Pacific Coast
CSARDCSCH,Chilean sardine Central-Southern Chile,849310.0,0.21,401740.0,3.5648530567271086,2020,551247,Strangomera bentincki,Chilean sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Chilean sardine Central-Southern Chile
CUSKVa-XIV,Tusk ICES 5a-14,6500.0,0.22,2620.0,4.130126632402663,2021,164740,Brosme brosme,Tusk,Lotidae,Gadiformes,gadids,Gadids,0,Tusk ICES 5a-14
DABIIIa-IV,Dab ICES 3a-4,1.212118356,1.145246253,0.3568175354,1.06780551896567,2018,172881,Limanda limanda,Dab,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Dab ICES 3a-4
DEEPFLATHEADSE,Deepwater flathead Southeast Australia,4950.0,0.0504,2200.0,16.089885242387474,2015,644351,Platycephalus conatus,Deepwater flathead,Platycephalidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Deepwater flathead Southeast Australia
DKROCKPCOAST,Darkblotched rockfish Pacific Coast,1760000000.0,0.213,706000000.0,4.288515730229838,2021,166715,Sebastes crameri,Darkblotched rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Darkblotched rockfish Pacific Coast
DOYSFS,Dredge oyster Foveax Strait,1440000000.0,0.01,750000000.0,65.23251860396901,2012,-970,Ostrea chilensis,Dredge oyster,Ostreidae,Ostreida,bivalves-gastropods,Invertebrate,0,Dredge oyster Foveax Strait
DSOLEGA,Dover sole Gulf of Alaska,28900.0,0.0021,9740.0,517.9049892685442,2019,172887,Microstomus pacificus,Dover sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Dover sole Gulf of Alaska
DSOLEPCOAST,Dover sole Pacific Coast,230000.0,0.112,58800.0,12.178012982309056,2020,172887,Microstomus pacificus,Dover sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Dover sole Pacific Coast
DUSROCKGA,Dusky rockfish Gulf of Alaska,38202.0,0.03534,7640.400000000001,45.5415368543888,2020,644604,Sebastes variabilis,Dusky rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Dusky rockfish Gulf of Alaska
EBASSGSA7,European seabass Gulf of Lions,246.0,0.536,99.2,1.6943908985849547,2015,170317,Dicentrarchus labrax,European seabass,Moronidae,Perciformes,other marine percoidids,Other Marine,0,European seabass Gulf of Lions
EBASSIVbc-VII,European seabass ICES 4bc-7,11600.0,0.1086823,4700.0,8.312692953648442,2021,170317,Dicentrarchus labrax,European seabass,Moronidae,Perciformes,other marine percoidids,Other Marine,0,European seabass ICES 4bc-7
EBASSVIIIab,European seabass ICES 8ab,18600.0,0.1109,4880.0,12.065070882363388,2021,170317,Dicentrarchus labrax,European seabass,Moronidae,Perciformes,other marine percoidids,Other Marine,0,European seabass ICES 8ab
ESOLEPCOAST,English sole Pacific Coast,41900.0,0.037,8440.0,43.30550049514125,2007,172921,Parophrys vetulus,English sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,English sole Pacific Coast
FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,148000.0,0.0301,45000.0,39.55314896989353,2020,172875,Hippoglossoides elassodon,Flathead sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Flathead sole Bering Sea and Aleutian Islands
FLSOLEGA,Flathead sole Gulf of Alaska,83300.0,0.0106,16660.0,151.83376532397173,2017,172875,Hippoglossoides elassodon,Flathead sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Flathead sole Gulf of Alaska
FMEG8c9a,Fourspotted megrim ICES 8c-9a,8490.0,0.108,1698.0,14.902202892908337,2021,172834,Lepidorhombus boscii,Fourspotted megrim,Scophthalmidae,Pleuronectiformes,pleuronectids,Flatfish,0,Fourspotted megrim ICES 8c-9a
GAGGM,Gag Gulf of Mexico,2295.199951,0.083,5950.580078,0.0,2019,167759,Mycteroperca microlepis,Gag,Serranidae,Perciformes,other marine percoidids,Other Marine,1,Gag Gulf of Mexico
GAGSATLC,Gag Southern Atlantic coast,235.0,0.79,1404.0,0.0,2019,167759,Mycteroperca microlepis,Gag,Serranidae,Perciformes,other marine percoidids,Other Marine,1,Gag Southern Atlantic coast
GEMFISHNZ,Common gemfish New Zealand,9401.0,0.124,1880.2,12.979338003500809,2023,550883,Rexea solandri,Common gemfish,Gempylidae,Perciformes,other marine fish,Other Marine,0,Common gemfish New Zealand
GHALBSAI,Greenland halibut Bering Sea and Aleutian Islands,52900.0,0.06,53000.0,0.0,2020,172930,Reinhardtius hippoglossoides,Greenland halibut,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,1,Greenland halibut Bering Sea and Aleutian Islands
GHALNEAR,Greenland halibut North-East Arctic,601000.0,0.047513316,149200.0,29.32456338693656,2020,172930,Reinhardtius hippoglossoides,Greenland halibut,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Greenland halibut North-East Arctic
GHBRMGSA7,Gilthead seabream Gulf of Lions,2650.0,0.45,530.0,3.576528694298001,2015,647901,Sparus aurata,Gilthead seabream,Sparidae,Perciformes,other marine percoidids,Other Marine,0,Gilthead seabream Gulf of Lions
GJOBMHI,Green jobfish Main Hawaiian Islands,819.0,0.08,166.20000000000002,19.93615251789652,2018,168926,Aprion virescens,Green jobfish,Lutjanidae,Perciformes,other marine percoidids,Other Marine,0,Green jobfish Main Hawaiian Islands
GOLDREDNEAR,Golden redfish North-East Arctic,23900.0,0.46227781,15020.0,1.0047979863049803,2019,166781,Sebastes norvegicus,Golden redfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Golden redfish North-East Arctic
GOLDREDV-VI-XII-XIV,Golden redfish ICES 5-6-12-14,260000.0,0.118,87400.0,9.238867358932524,2021,166781,Sebastes norvegicus,Golden redfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Golden redfish ICES 5-6-12-14
GRAMBERGM,Greater amberjack Gulf of Mexico,2432.0,0.33,4143.6,0.0,2018,168689,Seriola dumerili,Greater amberjack,Carangidae,Perciformes,carangids-mackerels,Other Marine,1,Greater amberjack Gulf of Mexico
GRAMBERSATLC,Greater amberjack Southern Atlantic coast,6910.0,0.27,1580.0,5.464980706447048,2017,168689,Seriola dumerili,Greater amberjack,Carangidae,Perciformes,carangids-mackerels,Other Marine,0,Greater amberjack Southern Atlantic coast
GRSHRIMPMEDGSA12-16,Giant red shrimp Geographical Sub-Areas 12-16,1250.0,1.67,254.0,0.9542302774118624,2011,96056,Aristaeomorpha foliacea,Giant red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,Giant red shrimp Geographical Sub-Areas 12-16
GRSHRIMPMEDGSA18-19,"Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)",525.0,0.463,122.0,3.1520026303636435,2014,96056,Aristaeomorpha foliacea,Giant red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,"Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)"
GRSHRIMPMEDGSA9-11,Giant red shrimp Geographical Sub-Areas 9-11,716.0181718,0.734084333,175.17989254,1.9178888305452544,2019,96056,Aristaeomorpha foliacea,Giant red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,Giant red shrimp Geographical Sub-Areas 9-11
GRSNAPGM,Gray snapper Gulf of Mexico,4660.0,0.1347,4440.0,0.3590280006935491,2015,168848,Lutjanus griseus,Gray snapper,Lutjanidae,Perciformes,other marine percoidids,Other Marine,0,Gray snapper Gulf of Mexico
GSSMELTVa-XIV,Greater silver smelt ICES 5a-14,56400.0,0.034,11900.0,45.762669364309694,2021,162064,Argentina silus,Greater silver smelt,Argentinidae,Osmeriformes,forage fish,Forage Fish,0,Greater silver smelt ICES 5a-14
GSSMELTVb-VIa,Greater silver smelt ICES 5b-6a,89300.0,0.118,24200.0,11.064820802710278,2021,162064,Argentina silus,Greater silver smelt,Argentinidae,Osmeriformes,forage fish,Forage Fish,0,Greater silver smelt ICES 5b-6a
GSTRGZRSTA7,Giant stargazer NZ Area STA7,3680.0,0.486,1848.0,1.4173020143237596,2007,171064,Kathetostoma giganteum,Giant stargazer,Uranoscopidae,Perciformes,other marine fish,Other Marine,0,Giant stargazer NZ Area STA7
GTPRAWNNAUST,Grooved tiger prawn Northern Australia,35309530.0,0.493,11319042.0,2.3076398761791217,2015,95644,Penaeus semisulcatus,Grooved tiger prawn,Penaeidae,Decapoda,shrimps,Invertebrate,0,Grooved tiger prawn Northern Australia
GTRIGGM,Gray triggerfish Gulf of Mexico,6040000000.0,0.106,6480000000.0,0.0,2013,173138,Balistes capriscus,Gray triggerfish,Balistidae,Tetraodontiformes,other marine fish,Other Marine,1,Gray triggerfish Gulf of Mexico
HAD4X5Y,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",34147.217,0.04764039,10190.3054,25.38275341448114,2016,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine"
HAD5Y,Haddock Gulf of Maine,16528.0,0.375,7237.8,2.201969652160072,2021,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Gulf of Maine
HADFAPL,Haddock Faroe Plateau,53800.0,0.289,18740.0,3.6491805894721896,2020,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Faroe Plateau
HADGB,Haddock Georges Bank,79513.0,0.136999995,48396.8,3.623991624745901,2021,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Georges Bank
HADICE,Haddock Iceland Grounds,113562.0,0.3685,30903.0,3.531874292307113,2023,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Iceland Grounds
HADIS,Haddock Irish Sea,17400.0,0.06577749,4180.0,21.68156552771805,2021,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Irish Sea
HADNEAR,Haddock North-East Arctic,199478.0,0.438,104839.2,1.4686671388335777,2021,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock North-East Arctic
HADNS-IIIa-VIa,Haddock ICES 3a-4-6a,529443.0,0.119,105888.6,13.524688339782356,2023,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock ICES 3a-4-6a
HADROCK,Haddock Rockall Bank,32400.0,0.189,7440.0,7.78459033837716,2021,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock Rockall Bank
HADVIIb-k,Haddock ICES 7b-k,42660.0,0.417,19786.800000000003,1.8423181398811,2023,164744,Melanogrammus aeglefinus,Haddock,Gadidae,Gadiformes,gadids,Gadids,0,Haddock ICES 7b-k
HAKEMEDGSA1-7,Hake Geographical Sub-Areas 1-7,2075.857134,1.585163333,920.2551972,0.5131827031477881,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake Geographical Sub-Areas 1-7
HAKEMEDGSA17-18,"Hake Adriatic Sea (GSA 17,18)",3322.0,0.41,665.8000000000001,3.9203243049568672,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,"Hake Adriatic Sea (GSA 17,18)"
HAKEMEDGSA19,Hake Western Ionian Sea,1192.964423,0.3245064,259.5895262,4.699737700382852,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake Western Ionian Sea
HAKEMEDGSA20,Hake Eastern Ionian Sea,1236.712491,0.744721,397.6988638,1.5234118893942985,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake Eastern Ionian Sea
HAKEMEDGSA22-23,"Hake Aegean Sea and Crete Island (GSA 22,23)",5650.0,0.83,1564.0,1.5474806060665427,2006,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,"Hake Aegean Sea and Crete Island (GSA 22,23)"
HAKEMEDGSA7,Hake Gulf of Lions,543.0,1.84,356.0,0.2294448853706004,2012,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake Gulf of Lions
HAKEMEDGSA8-11,Hake Geographical Sub-Areas 8-11,4509.142883,0.566567333,1097.4090482,2.4942403387811787,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake Geographical Sub-Areas 8-11
HAKENRTN,Hake ICES 3a-4-6-7-8abd,163204.0,0.1914,58764.600000000006,5.336788501800709,2023,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake ICES 3a-4-6-7-8abd
HAKESOTH,Hake ICES 8c-9a,17429.562,0.596108568,9160.072232,1.079188759259608,2019,164795,Merluccius merluccius,Hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake ICES 8c-9a
HAKESPPSAF,Hake spp Southern Africa,1884330.0,0.115348,1230970.0,3.691176644384332,2019,-963,Merluccius spp,Hake spp,Merlucciidae,Gadiformes,gadids,Gadids,0,Hake spp Southern Africa
HERR2224IIIa,Herring ICES 22-24-3a,65000.0,0.193,60200.0,0.3974866195899576,2021,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring ICES 22-24-3a
HERR2529-32,Herring Subdivisions 25-29 and 32,365000.0,0.46,388000.0,0.0,2021,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring Subdivisions 25-29 and 32
HERR30-31,Herring Subdivisions 30-31,449913.0,0.215609,271406.0,2.3442359826958143,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring Subdivisions 30-31
HERR4RFA,Herring NAFO division 4R (Fall spawners),76382.58,0.049,45777.638000000006,10.448141654945792,2017,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring NAFO division 4R (Fall spawners)
HERR4RSP,Herring NAFO division 4R (Spring spawners),2191.6382,0.148,29251.324,0.0,2017,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring NAFO division 4R (Spring spawners)
HERR4TFA,Herring Southern Gulf of St. Lawrence (Fall spawners),112000.0,0.423,61102.954000000005,1.4324791000332038,2018,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring Southern Gulf of St. Lawrence (Fall spawners)
HERR4TSP,Herring Southern Gulf of St. Lawrence (Spring spawners),12250.58,0.137,22663.572,0.0,2018,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring Southern Gulf of St. Lawrence (Spring spawners)
HERR4VWX,Herring Scotian Shelf and Bay of Fundy,48600.0,1.21,142800.0,0.0,2006,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring Scotian Shelf and Bay of Fundy
HERRCC,Pacific herring Central Coast,32723.69,0.033,13363.686,27.138128853874537,2018,551209,Clupea pallasii,Pacific herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Pacific herring Central Coast
HERRIsum,Herring Iceland (Summer spawners),555403.0,0.175191731,121988.8,8.65203357760159,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring Iceland (Summer spawners)
HERRNIRS,Herring Irish Sea,25569.0,0.2379,6042.400000000001,6.0638057847464015,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring Irish Sea
HERRNORSS,Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners),3664000.0,0.182,1405000.0,5.266583208935026,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners)
HERRNS-IIIa-VIId,Herring ICES 3a-4-7d,1480607.0,0.2274,1057628.8,1.4794314758871807,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring ICES 3a-4-7d
HERRNWATLC,Herring Northwestern Atlantic Coast,61645.0,0.152999997,230480.0,0.0,2022,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring Northwestern Atlantic Coast
HERRPRD,Pacific herring Prince Rupert District,25000.0,0.04,17000.604000000003,9.64067380078436,2018,551209,Clupea pallasii,Pacific herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Pacific herring Prince Rupert District
HERRRIGA,Herring Gulf of Riga East of Gotland,139870.0,0.26664956,29183.06054,5.877095755732601,2023,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Herring Gulf of Riga East of Gotland
HERRSIRS,Herring ICES 7a-g-h-j-k,19300.0,0.0226331,40800.0,0.0,2021,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring ICES 7a-g-h-j-k
HERRSITKA,Pacific herring Sitka,82900.0,0.118,17560.0,13.15263960961253,2007,551209,Clupea pallasii,Pacific herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Pacific herring Sitka
HERRSOG,Pacific herring Strait of Georgia,126134.35,0.113,25226.870000000003,14.242813384372567,2018,551209,Clupea pallasii,Pacific herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Pacific herring Strait of Georgia
HERRVIaVIIbc,Herring ICES 6a7bc,0.184285489,0.135559495,0.5967320858,0.0,2020,161722,Clupea harengus,Herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Herring ICES 6a7bc
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,853000.0,0.1089873,1064000.0,0.0,2020,168588,Trachurus trachurus,Horse mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,1,Horse mackerel ICES 2a-4a-5b-6a-7-8
HMACKIXa,Horse mackerel Portugese Waters -East,982000.0,0.024327833,199600.0,65.49189746892385,2021,168588,Trachurus trachurus,Horse mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Horse mackerel Portugese Waters -East
HMACKMEDGSA9-11,Horse mackerel Geographical Sub-Areas 9-11,969.6,0.56,705.8800000000001,0.5668542213214599,2016,168588,Trachurus trachurus,Horse mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Horse mackerel Geographical Sub-Areas 9-11
HOKIENZ,Hoki Eastern New Zealand,337886.0,0.107,136163.80000000002,8.493925118754182,2022,623193,Macruronus novaezelandiae,Hoki,Merlucciidae,Gadiformes,gadids,Gadids,0,Hoki Eastern New Zealand
HOKIWNZ,Hoki Western New Zealand,410298.0,0.137,267402.0,3.1250407363703547,2022,623193,Macruronus novaezelandiae,Hoki,Merlucciidae,Gadiformes,gadids,Gadids,0,Hoki Western New Zealand
JMACKPJPN,Japanese jack mackerel Pacific Coast of Japan,20000.0,1.26,12800.0,0.3541961131971583,2019,642012,Trachurus japonicus,Japanese jack mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Japanese jack mackerel Pacific Coast of Japan
JMACKTSST,Japanese jack mackerel Tsushima Strait,283000.0,0.736,56600.0,2.186736294068071,2019,642012,Trachurus japonicus,Japanese jack mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Japanese jack mackerel Tsushima Strait
KMACKGM,King mackerel Gulf of Mexico,1580000000000.0,0.318,1128000000000.0,1.05968142755663,2017,172435,Scomberomorus cavalla,King mackerel,Scombridae,Perciformes,carangids-mackerels,Tuna and Marlin,0,King mackerel Gulf of Mexico
KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,54200.0,0.0755,15380.0,16.68361515719341,2020,172861,Atheresthes evermanni,Kamchatka flounder,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Kamchatka flounder Bering Sea and Aleutian Islands
LINGCODNPCOAST,Lingcod Northern Pacific Coast,11010.2002,0.143999994,4086.9,6.88219054773611,2021,167116,Ophiodon elongatus,Lingcod,Hexagrammidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Lingcod Northern Pacific Coast
LINGCODSPCOAST,Lingcod Southern Pacific Coast,10415.0,0.193000004,5288.719922,3.5112477968815043,2021,167116,Ophiodon elongatus,Lingcod,Hexagrammidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Lingcod Southern Pacific Coast
LINGVa,Ling Iceland Grounds,25700.0,0.28,5920.0,5.243409082161641,2021,164760,Molva molva,Ling,Lotidae,Gadiformes,gadids,Gadids,0,Ling Iceland Grounds
LINGVb,Ling Faroe Grounds,27800.0,0.347,5560.0,4.638149603556486,2021,164760,Molva molva,Ling,Lotidae,Gadiformes,gadids,Gadids,0,Ling Faroe Grounds
LNOSESKAPCOAST,Longnose skate Pacific Coast,6920.0,0.239,2460.0,4.327424350147727,2019,160851,Raja rhina,Longnose skate,Rajidae,Rajiformes,elasmobranchs,Sharks Rays and Skates,0,Longnose skate Pacific Coast
LOBSTERSNE,American lobster Southern New England,966.0,1.04,1641.0,0.0,2018,97314,Homarus americanus,American lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,1,American lobster Southern New England
LSTHORNHPCOAST,Longspine thornyhead Pacific Coast,28400.0,0.069,9100.0,16.49441640064284,2019,166784,Sebastolobus altivelis,Longspine thornyhead,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Longspine thornyhead Pacific Coast
MACK5YCHATT,Atlantic mackerel Gulf of Maine / Cape Hatteras,42900.0,0.458,226000.0,0.0,2019,172414,Scomber scombrus,Atlantic mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,1,Atlantic mackerel Gulf of Maine / Cape Hatteras
MACKNEICES,Mackerel ICES Northeast Atlantic,3681064.24,0.3040362,1283730.6,3.464822727866611,2023,172414,Scomber scombrus,Mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,0,Mackerel ICES Northeast Atlantic
MACKNWATLSA3-4,Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),30468.355,0.468,81945.312,0.0,2018,172414,Scomber scombrus,Mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,1,Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)
MEG8c9a,Megrim ICES 8c-9a,2780.0,0.116,556.0,13.874464762362932,2021,172835,Lepidorhombus whiffiagonis,Megrim,Scophthalmidae,Pleuronectiformes,pleuronectids,Flatfish,0,Megrim ICES 8c-9a
MEGVII-VIIIabd,Megrim ICES 7-8abd,126000.0,0.137,25200.0,11.747721988570074,2021,172835,Lepidorhombus whiffiagonis,Megrim,Scophthalmidae,Pleuronectiformes,pleuronectids,Flatfish,0,Megrim ICES 7-8abd
MENATGM,Gulf menhaden Gulf of Mexico,3570000000000000.0,0.63,834000000000000.0,2.308075353039584,2021,161734,Brevoortia patronus,Gulf menhaden,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Gulf menhaden Gulf of Mexico
MENATLAN,Atlantic menhaden Atlantic,2470000000000000.0,0.159997,690000000000000.0,7.970660900083863,2021,161732,Brevoortia tyrannus,Atlantic menhaden,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Atlantic menhaden Atlantic
MHMACKMEDGSA29,Mediterranean horse mackerel Black Sea,8407.0,0.996,4064.6,0.7296680270874399,2022,168590,Trachurus mediterraneus,Mediterranean horse mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Mediterranean horse mackerel Black Sea
MORWONGESE,Jackass morwong Eastern half of Southeast Australia,1072.82,0.949888,4768.18,0.0,2020,170262,Nemadactylus macropterus,Jackass morwong,Cheilodactylidae,Perciformes,other marine percoidids,Other Marine,1,Jackass morwong Eastern half of Southeast Australia
MORWONGWSE,Jackass morwong Western half of Southeast Australia,1803.1,0.039707,548.558,29.968762881158224,2017,170262,Nemadactylus macropterus,Jackass morwong,Cheilodactylidae,Perciformes,other marine percoidids,Other Marine,0,Jackass morwong Western half of Southeast Australia
MUTSNAPSATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,2390.0,0.18,496.0,8.735959545559048,2013,168849,Lutjanus analis,Mutton snapper,Lutjanidae,Perciformes,other marine percoidids,Other Marine,0,Mutton snapper Southern Atlantic coast and Gulf of Mexico
NEPHFU14,Norway lobster Irish Sea East (FU 14),591.0,0.036209706,138.8,40.01087358547992,2015,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Irish Sea East (FU 14)
NEPHFU16,Norway lobster Porcupine Bank (FU 16),958.0,0.04173722,191.6,38.561214964343584,2016,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Porcupine Bank (FU 16)
NEPHFU17,Norway lobster Aran Grounds (FU 17),379.0,0.018561778,282.0,15.926768122337888,2016,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Aran Grounds (FU 17)
NEPHFU7,Norway lobster Fladen Ground (FU 7),7040000000.0,0.056,1472000000.0,27.94618124755833,2017,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Fladen Ground (FU 7)
NEPHMEDGSA1,Norway lobster Northern Alboran Sea,186.0,0.33,49.400000000000006,4.017564392482801,2011,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Northern Alboran Sea
NEPHMEDGSA11,Norway lobster Sardinia,39.1,0.393,17.540000000000003,2.039792570094868,2015,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Sardinia
NEPHMEDGSA15-16,"Norway lobster Malta Island and South of Sicily (GSA 15, 16)",485.0,0.2,455.6,0.3126682968222808,2021,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,"Norway lobster Malta Island and South of Sicily (GSA 15, 16)"
NEPHMEDGSA5,Norway lobster Balearic Island,30.7,0.287,10.38,3.778333717266233,2013,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Balearic Island
NEPHMEDGSA6,Norway lobster Northern Spain,431.2889204,0.61724275,122.21491288,2.04295172122042,2019,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Northern Spain
NEPHMEDGSA9,Norway lobster Ligurian and North Tyrrhenian Sea,1056.383946,0.27525738,233.7410394,5.479937177691691,2019,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster Ligurian and North Tyrrhenian Sea
