stockid,SSB_now,F_now,B_lim,ADH,lastyear
SMULLMEDGSA15-16,2460.0,0.78,518.0,1.9973607521370838,2012
SMULLMEDGSA5,116.0,0.477,40.800000000000004,2.1905830391954897,2012
SMULLMEDGSA9,463.0,0.492,119.80000000000001,2.747771073993669,2015
SNOSESHARATL,6530000.0,0.137,2320000.0,7.553574873066577,2005
SNOWCRABBS,168000.0,0.54,65000.0,1.7584753879770774,2015
SNOWGROUPSATLC,427.0,0.18,346.0,1.1685846565050018,2012
SOLECS,2570.0,0.399,1496.0,1.3561679683078771,2018
SOLEIIIa-2224,2690.0,0.279,826.0,4.231905731451278,2018
SOLEIS,2340.0,0.0188,1434.0,26.046978042137308,2018
SOLENS,58000.0,0.218,24200.0,4.009588887081553,2018
SOLEVIIIab,13200.0,0.364,3260.0,3.842004489598101,2018
SOLEVIId,14300.0,0.24,4580.0,4.7440022464157,2018
SOLEVIIe,3970.0,0.215,1068.0,6.106876065865563,2018
SOLEVIIh-k,1.3,0.614,0.31000000000000005,2.334767501580515,2018
SOLMEDGSA17,1450.0,0.634,290.0,2.53854560320836,2014
SOLMEDGSA7,215.0,0.63,72.2,1.732060289252194,2015
SOUTHHAKECH,93000.0,0.34,86200.0,0.2233215161282601,2014
SOUTHHAKESA,37000.0,0.0506,19180.0,12.985174766579691,2014
SPANMACKGM,19000.0,0.12,8160.0,7.043290084920208,2011
SPANMACKSATLC,4860.0,0.361,1888.0,2.619170000523805,2011
SPANMACKSETO,2520.0,0.93,2160.0,0.165753419169095,2013
SPHAKECH,112000.0,0.11,141000.0,0.0,2015
SPRAT22-32,1370000.0,0.277,384000.0,4.591781466550339,2018
SPRATNS,409000.0,1.72,111000.0,0.7582470667037603,2018
SPRATVIIde,0.168,2.83,0.27999999999999997,0.0,2016
SPRBLKGSA29,278000.0,0.606,105800.0,1.5941758981294358,2014
SSARDCH,42000.0,0.32,13660.0,3.509993012939764,2016
SSTHORNHPCOAST,141000.0,0.187,39600.0,6.791073647688414,2013
STMARLINWCNPAC,6820.0,0.75,5680.0,0.24387765216308105,2013
STRIPEDBASSGOMCHATT,61500.0,0.188,16280.0,7.069679862968499,2012
SWHITSE,3270.0,0.182,1510.0,4.245496341111699,2016
SWORDIO,30800.0,0.0802,14880.0,9.071030680481085,2012
TANNERCRABBSAI,53700.0,0.144,63600.0,0.0,2015
TARAKNZ,10800.0,0.0766,3580.0,14.414926027644453,2007
TIGERFLATSE,9820.0,0.853,4780.0,0.8440569470844196,2015
TILEGM,17.3,0.17,5.920000000000001,6.308059132987169,2009
TILEMATLC,5230.0,0.275,5400.0,0.0,2012
TILESATLC,18600.0,0.36,20200.0,0.0,2014
