cell,T,sigma,rep,module,retained
D6_timevarying_r,33,11.8,51,M3_AR_residual,False
D6_timevarying_r,33,11.8,51,M4_delayed_info,False
D6_timevarying_r,33,11.8,52,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,52,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,52,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,52,M3_AR_residual,False
D6_timevarying_r,33,11.8,52,M4_delayed_info,False
D6_timevarying_r,33,11.8,53,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,53,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,53,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,53,M3_AR_residual,False
D6_timevarying_r,33,11.8,53,M4_delayed_info,False
D6_timevarying_r,33,11.8,54,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,54,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,54,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,54,M3_AR_residual,False
D6_timevarying_r,33,11.8,54,M4_delayed_info,False
D6_timevarying_r,33,11.8,55,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,55,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,55,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,55,M3_AR_residual,False
D6_timevarying_r,33,11.8,55,M4_delayed_info,False
D6_timevarying_r,33,11.8,56,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,56,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,56,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,56,M3_AR_residual,False
D6_timevarying_r,33,11.8,56,M4_delayed_info,False
D6_timevarying_r,33,11.8,57,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,57,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,57,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,57,M3_AR_residual,False
D6_timevarying_r,33,11.8,57,M4_delayed_info,False
D6_timevarying_r,33,11.8,58,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,58,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,58,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,58,M3_AR_residual,False
D6_timevarying_r,33,11.8,58,M4_delayed_info,False
D6_timevarying_r,33,11.8,59,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,59,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,59,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,59,M3_AR_residual,False
D6_timevarying_r,33,11.8,59,M4_delayed_info,False
D6_timevarying_r,33,11.8,60,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,60,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,60,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,60,M3_AR_residual,False
D6_timevarying_r,33,11.8,60,M4_delayed_info,False
