origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
2000,5,M1_autonomous_Schaefer,25.18,0.001,1,1,633.9820409999999,25.179,102.69401001230825
2000,1,M1b_autonomous_Allee,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
2000,5,M1b_autonomous_Allee,25.18,0.001,1,1,633.9820409999999,25.179,102.69401001230825
2000,1,M2_stockflow_regimeC,29.5,35.540629991997314,1,1,36.48921070021746,6.040629991997314,0.034702580166801174
2000,5,M2_stockflow_regimeC,25.18,70.90966218040406,1,1,2091.202003133877,45.729662180404056,1.0719634436945273
2000,1,M3_AR_residual,29.5,35.666021620661624,1,1,38.0198226264666,6.166021620661624,0.03602715160377402
2000,5,M3_AR_residual,25.18,71.42462097647226,1,1,2138.5649692575776,46.244620976472255,1.0869993564566285
2000,1,M4_delayed_info,29.5,39.303217700781076,1,1,96.1030772889074,9.803217700781076,0.08232086422865101
2000,5,M4_delayed_info,25.18,79.70558966563169,1,1,2973.0399283848415,54.52558966563169,1.3277715263223757
2001,1,M1_autonomous_Schaefer,23.87,0.001,1,1,569.729161,23.869,101.61401496442268
2001,5,M1_autonomous_Schaefer,40.83,0.001,1,1,1667.007241,40.829,112.72434943823178
2001,1,M1b_autonomous_Allee,23.87,0.001,1,1,569.729161,23.869,101.61401496442268
2001,5,M1b_autonomous_Allee,40.83,0.001,1,1,1667.007241,40.829,112.72434943823178
2001,1,M2_stockflow_regimeC,23.87,32.18956792896412,1,1,69.21521052464826,8.319567928964116,0.08941294984235647
2001,5,M2_stockflow_regimeC,40.83,67.56781450147828,1,1,714.9107243154624,26.737814501478283,0.25372844610180156
2001,1,M3_AR_residual,23.87,27.998087544495206,1,1,17.041106775016452,4.128087544495205,0.0254446413870085
2001,5,M3_AR_residual,40.83,50.328845490494395,1,1,90.22806565228574,9.498845490494396,0.043748439545116195
2001,1,M4_delayed_info,23.87,32.150177681501916,1,1,68.56134243724242,8.280177681501915,0.0886821818323562
2001,5,M4_delayed_info,40.83,63.301270822469256,1,1,504.9580123767582,22.471270822469258,0.1922719890627849
2002,1,M1_autonomous_Schaefer,22.07,0.001,1,1,487.040761,22.069,100.03949388366293
2002,5,M1_autonomous_Schaefer,81.1,0.001,1,1,6577.047800999998,81.09899999999999,127.76771604783418
2002,1,M1b_autonomous_Allee,22.07,0.001,1,1,487.040761,22.069,100.03949388366293
2002,5,M1b_autonomous_Allee,81.1,0.001,1,1,6577.047800999998,81.09899999999999,127.76771604783418
2002,1,M2_stockflow_regimeC,22.07,28.49589844856316,1,1,41.29217087124643,6.42589844856316,0.06530117332641133
2002,5,M2_stockflow_regimeC,81.1,56.7245945032909,1,1,594.1603931289958,24.375405496709092,0.12778843206786036
2002,1,M3_AR_residual,22.07,25.398973490784968,1,1,11.082064502349054,3.3289734907849677,0.019737310621977346
2002,5,M3_AR_residual,81.1,43.97300460765092,1,1,1378.4137868635094,37.12699539234907,0.37467503715228057
2002,1,M4_delayed_info,22.07,33.22659901043034,1,1,124.46970147953526,11.156599010430341,0.16738859239090687
2002,5,M4_delayed_info,81.1,64.560943496657,1,1,273.54039002077207,16.53905650334299,0.052017440666987824
2003,1,M1_autonomous_Schaefer,20.07,0.001,1,1,402.76476099999996,20.069,98.14828128797907
2003,5,M1_autonomous_Schaefer,106.65,0.001,1,1,11374.009201,106.649,134.03405413386292
2003,1,M1b_autonomous_Allee,20.07,0.001,1,1,402.76476099999996,20.069,98.14828128797907
2003,5,M1b_autonomous_Allee,106.65,0.001,1,1,11374.009201,106.649,134.03405413386292
2003,1,M2_stockflow_regimeC,20.07,26.61864199725712,1,1,42.88471200823974,6.548641997257121,0.07974164656034573
2003,5,M2_stockflow_regimeC,106.65,48.28383113823878,1,1,3406.6096675996255,58.366168861761224,0.6279860354256788
2003,1,M3_AR_residual,20.07,24.864813623738918,1,1,22.990237686392334,4.794813623738918,0.04589343623977757
2003,5,M3_AR_residual,106.65,41.05747479998785,1,1,4302.379362114229,65.59252520001215,0.9112220895221439
2003,1,M4_delayed_info,20.07,31.414482282905233,1,1,128.69727826715072,11.344482282905233,0.20074238914370282
2003,5,M4_delayed_info,106.65,57.62022796905486,1,1,2403.918545406451,49.029772030945146,0.37906033409472983
2004,1,M1_autonomous_Schaefer,25.18,0.001,1,1,633.9820409999999,25.179,102.69401001230825
2004,5,M1_autonomous_Schaefer,104.56,0.001,1,1,10932.584481,104.559,133.57618414117792
2004,1,M1b_autonomous_Allee,25.18,0.001,1,1,633.9820409999999,25.179,102.69401001230825
2004,5,M1b_autonomous_Allee,104.56,0.001,1,1,10932.584481,104.559,133.57618414117792
2004,1,M2_stockflow_regimeC,25.18,23.46695368326272,1,1,2.934527683287162,1.7130463167372803,0.004964163959991039
2004,5,M2_stockflow_regimeC,104.56,37.769320905581935,1,1,4460.994813893534,66.79067909441807,1.0368613954665324
2004,1,M3_AR_residual,25.18,20.035358009170547,1,1,26.46734121380563,5.144641990829452,0.052235749527188895
2004,5,M3_AR_residual,104.56,23.600718995913745,1,1,6554.405180698601,80.95928100408625,2.215584296207406
2004,1,M4_delayed_info,25.18,25.41568777626688,1,1,0.0555487278816263,0.23568777626687876,8.679873260102325e-05
2004,5,M4_delayed_info,104.56,38.854991595183954,1,1,4317.148129476948,65.70500840481606,0.9799505492925973
2005,1,M1_autonomous_Schaefer,40.83,0.001,1,1,1667.007241,40.829,112.72434943823178
2005,5,M1_autonomous_Schaefer,96.91,0.001,1,1,9391.354280999998,96.90899999999999,131.8257146555071
2005,1,M1b_autonomous_Allee,40.83,0.001,1,1,1667.007241,40.829,112.72434943823178
2005,5,M1b_autonomous_Allee,96.91,0.001,1,1,9391.354280999998,96.90899999999999,131.8257146555071
2005,1,M2_stockflow_regimeC,40.83,28.404754547094463,1,1,154.3867245649497,12.425245452905536,0.1316677864000005
2005,5,M2_stockflow_regimeC,96.91,48.566987313406266,1,1,2337.0468756161627,48.34301268659373,0.4772580901258925
2005,1,M3_AR_residual,40.83,28.97500264508912,1,1,140.54096228494393,11.854997354910878,0.1176377668926127
2005,5,M3_AR_residual,96.91,50.91447939367331,1,1,2115.587915847023,45.995520606326686,0.41426647945369954
2005,1,M4_delayed_info,40.83,27.309839097950135,1,1,182.79475081731778,13.520160902049863,0.16174075840960736
2005,5,M4_delayed_info,96.91,46.60292163340324,1,1,2530.8021337829073,50.307078366596755,0.5359989294584437
2006,1,M1_autonomous_Schaefer,81.1,0.001,1,1,6577.047800999998,81.09899999999999,127.76771604783418
2006,5,M1_autonomous_Schaefer,90.56,0.001,1,1,8200.932481,90.559,130.27409752525352
2006,1,M1b_autonomous_Allee,81.1,0.001,1,1,6577.047800999998,81.09899999999999,127.76771604783418
2006,5,M1b_autonomous_Allee,90.56,0.001,1,1,8200.932481,90.559,130.27409752525352
2006,1,M2_stockflow_regimeC,81.1,47.47989024795393,1,1,1130.3117797396228,33.62010975204606,0.2866282140351046
2006,5,M2_stockflow_regimeC,90.56,91.47076043705171,1,1,0.8294845736986156,0.9107604370517066,0.00010013501938554852
2006,1,M3_AR_residual,81.1,53.5943653815744,1,1,756.5599357623325,27.505634618425596,0.17159396738774785
2006,5,M3_AR_residual,90.56,116.4317151687132,1,1,669.3456457710244,25.871715168713195,0.06314784557823684
2006,1,M4_delayed_info,81.1,43.082647200233,1,1,1445.3191139019516,38.017352799766996,0.4001355216698779
2006,5,M4_delayed_info,90.56,87.446649283053,1,1,9.692952686714378,3.1133507169469965,0.0012238613316211593
2007,1,M1_autonomous_Schaefer,106.65,0.001,1,1,11374.009201,106.649,134.03405413386292
2007,5,M1_autonomous_Schaefer,112.12,0.001,1,1,12570.670161,112.119,135.1946867783799
2007,1,M1b_autonomous_Allee,106.65,0.001,1,1,11374.009201,106.649,134.03405413386292
2007,5,M1b_autonomous_Allee,112.12,0.001,1,1,12570.670161,112.119,135.1946867783799
2007,1,M2_stockflow_regimeC,106.65,96.6135206043884,1,1,100.73091865853634,10.036479395611607,0.00976810987108701
2007,5,M2_stockflow_regimeC,112.12,202.85864633062812,1,1,8233.50193791481,90.73864633062811,0.3515774720697676
2007,1,M3_AR_residual,106.65,115.10966994175996,1,1,71.56601552351688,8.459669941759955,0.005826708672374349
2007,5,M3_AR_residual,112.12,276.8929302294752,1,1,27150.118536407506,164.7729302294752,0.8173266021752806
2007,1,M4_delayed_info,106.65,88.27600753100396,1,1,337.60359925072356,18.37399246899605,0.035752792947208095
2007,5,M4_delayed_info,112.12,202.3029999377113,1,1,8132.973477765234,90.18299993771129,0.34833231811484733
2008,1,M1_autonomous_Schaefer,104.56,26.137778993149794,1,1,6150.044747647258,78.42222100685021,1.922047648208865
2008,5,M1_autonomous_Schaefer,169.17,0.001,1,1,28618.150560999995,169.16899999999998,144.92932028089533
2008,1,M1b_autonomous_Allee,104.56,0.001,1,1,10932.584481,104.559,133.57618414117792
2008,5,M1b_autonomous_Allee,169.17,0.001,1,1,28618.150560999995,169.16899999999998,144.92932028089533
2008,1,M2_stockflow_regimeC,104.56,128.27403300392356,1,1,562.3553613111759,23.71403300392356,0.04178254421315384
2008,5,M2_stockflow_regimeC,169.17,272.02782075207915,1,1,10579.731289866848,102.85782075207916,0.22562520591738583
2008,1,M3_AR_residual,104.56,133.56753961626714,1,1,841.4373545893075,29.007539616267138,0.05994965936327766
2008,5,M3_AR_residual,169.17,293.03433795222304,1,1,15342.374216342525,123.86433795222305,0.3018246144445643
2008,1,M4_delayed_info,104.56,125.39757002248786,1,1,434.20432444208444,20.837570022487853,0.033025131727408105
2008,5,M4_delayed_info,169.17,270.78233023955823,1,1,10325.065656713043,101.61233023955825,0.22128666152125798
2009,1,M1_autonomous_Schaefer,96.91,26.690947846676124,1,1,4930.715285311218,70.21905215332387,1.6627025444108208
2009,5,M1_autonomous_Schaefer,250.12,0.001,1,1,62559.514161,250.119,154.49734468296182
2009,1,M1b_autonomous_Allee,96.91,3.3979293121446545,1,1,8744.507364330455,93.51207068785534,11.226630879784324
2009,5,M1b_autonomous_Allee,250.12,0.001,1,1,62559.514161,250.119,154.49734468296182
2009,1,M2_stockflow_regimeC,96.91,125.81109557688775,1,1,835.273325544401,28.901095576887755,0.06812038809455875
2009,5,M2_stockflow_regimeC,250.12,263.36559014702544,1,1,175.4456583429774,13.245590147025439,0.002662801578234029
2009,1,M3_AR_residual,96.91,112.89246327512359,1,1,255.43913234067435,15.982463275123592,0.023302938538657555
2009,5,M3_AR_residual,250.12,211.89307290672463,1,1,1461.2979549945912,38.22692709327538,0.027509217284363733
2009,1,M4_delayed_info,96.91,131.84724994841716,1,1,1220.611433958175,34.93724994841716,0.09477860615023179
2009,5,M4_delayed_info,250.12,264.2643257031602,1,1,200.06194959707764,14.144325703160177,0.003025993741425746
2010,1,M1_autonomous_Schaefer,90.56,21.282528849279103,1,1,4799.368009038966,69.2774711507209,2.097069259831038
2010,5,M1_autonomous_Schaefer,298.65,0.001,1,1,89191.225201,298.649,158.93714486077928
2010,1,M1b_autonomous_Allee,90.56,5.001635534948875,1,1,7320.233729934524,85.55836446505113,8.388250441550824
2010,5,M1b_autonomous_Allee,298.65,0.001,1,1,89191.225201,298.649,158.93714486077928
2010,1,M2_stockflow_regimeC,90.56,115.55819438547758,1,1,624.9097225341226,24.998194385477575,0.05941973523988158
2010,5,M2_stockflow_regimeC,298.65,238.94201344437954,1,1,3565.043658526151,59.70798655562044,0.04975193518592962
2010,1,M3_AR_residual,90.56,99.68133124821584,1,1,83.19868373967871,9.121331248215839,0.009209433947011313
2010,5,M3_AR_residual,298.65,175.37373070196563,1,1,15197.038572041487,123.27626929803435,0.28339973620418496
2010,1,M4_delayed_info,90.56,122.66265093293688,1,1,1030.5801969219933,32.10265093293688,0.09206691119350575
2010,5,M4_delayed_info,298.65,239.27099758980117,1,1,3525.8659272303958,59.37900241019881,0.04914003992494108
2011,1,M1_autonomous_Schaefer,112.12,17.054389721258687,1,1,9037.470257669527,95.06561027874132,3.54629947245633
2011,1,M1b_autonomous_Allee,112.12,5.622560998649604,1,1,11341.704513846349,106.4974390013504,8.956746927571174
2011,1,M2_stockflow_regimeC,112.12,107.61989108913619,1,1,20.250980209635916,4.5001089108638155,0.0016780684860889846
2011,1,M3_AR_residual,112.12,93.3385780806148,1,1,352.7418093139632,18.78142191938521,0.033612169436793245
2011,1,M4_delayed_info,112.12,112.78475652098268,1,1,0.44190123218899363,0.664756520982678,3.494543511871831e-05
2012,1,M1_autonomous_Schaefer,169.17,41.560235357774445,1,1,16284.252032044196,127.60976464222554,1.970542971961699
2012,1,M1b_autonomous_Allee,169.17,33.3380049489258,1,1,18450.330879555044,135.8319950510742,2.6380454244800653
2012,1,M2_stockflow_regimeC,169.17,133.4231228843075,1,1,1277.8392235244191,35.746877115692484,0.05634863442449647
2012,1,M3_AR_residual,169.17,135.85133484925544,1,1,1110.1334474274395,33.31866515074455,0.04811133618868305
2012,1,M4_delayed_info,169.17,132.2364347545987,1,1,1364.0882417363146,36.9335652454013,0.0606699135467289
2013,1,M1_autonomous_Schaefer,250.12,102.57918292485016,1,1,21768.292703202827,147.54081707514985,0.7944260041887992
2013,1,M1b_autonomous_Allee,250.12,98.61370985746206,1,1,22954.155952754892,151.50629014253795,0.8662592739592566
2013,1,M2_stockflow_regimeC,250.12,202.91772900610982,1,1,2228.0543869806465,47.20227099389018,0.0437396155746247
2013,1,M3_AR_residual,250.12,222.29717948237501,1,1,774.1093415559741,27.82282051762499,0.013906463573719439
2013,1,M4_delayed_info,250.12,193.7621758956281,1,1,3176.2043377793225,56.3578241043719,0.06518283514726884
2014,1,M1_autonomous_Schaefer,298.65,195.66841972768015,1,1,10605.205875384254,102.98158027231983,0.17880282327519179
2014,1,M1b_autonomous_Allee,298.65,183.11523893699257,1,1,13348.281013886213,115.53476106300741,0.23927422193963857
2014,1,M2_stockflow_regimeC,298.65,302.19982761972403,1,1,12.601276129755755,3.5498276197240557,0.0001396216428718563
2014,1,M3_AR_residual,298.65,328.11360922728556,1,1,868.1042686981884,29.463609227285588,0.008852476253427855
2014,1,M4_delayed_info,298.65,291.0638410791545,1,1,57.54980717232363,7.586158920845492,0.0006620169946582177
