dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M1b_autonomous_Allee,18.611512906028096,26.281558932609386,21.938934060939005,20.37396067914067,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M2_stockflow_regimeC,11.573452515681657,13.565951639277872,21.938934060939005,20.37396067914067,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M3_AR_residual,11.639198841830847,13.583375382228816,21.938934060939005,20.37396067914067,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M4_delayed_info,11.99673343165243,13.59466226045532,21.938934060939005,20.37396067914067,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M1_autonomous_Schaefer,10.491871207623609,10.874737244394932,19.413992423024098,14.509327217344483,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M1b_autonomous_Allee,16.338009645177426,16.52472922837338,19.413992423024098,14.509327217344483,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M2_stockflow_regimeC,10.491871207623609,10.874737244394932,19.413992423024098,14.509327217344483,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M3_AR_residual,11.234007005924763,12.315140040111038,19.413992423024098,14.509327217344483,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,31,M4_delayed_info,14.466075413516126,10.151256614721502,19.413992423024098,14.509327217344483,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M1_autonomous_Schaefer,11.572132154948543,12.598362957276029,19.497006137049667,18.323062258989875,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M1b_autonomous_Allee,18.85187418755139,22.54983345102108,19.497006137049667,18.323062258989875,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M2_stockflow_regimeC,11.572132154948543,12.598362957276029,19.497006137049667,18.323062258989875,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M3_AR_residual,11.892629079933808,12.598781085369387,19.497006137049667,18.323062258989875,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,32,M4_delayed_info,12.260737404262485,12.607720923154602,19.497006137049667,18.323062258989875,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M1_autonomous_Schaefer,10.919959261826698,10.632393260542647,15.139384859264068,11.433182745513129,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M1b_autonomous_Allee,11.423140571065009,11.92675649470501,15.139384859264068,11.433182745513129,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M2_stockflow_regimeC,10.919959261826698,10.632393260542647,15.139384859264068,11.433182745513129,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M3_AR_residual,10.938224477602006,10.632758837740417,15.139384859264068,11.433182745513129,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,33,M4_delayed_info,10.617957751274725,10.63125591194099,15.139384859264068,11.433182745513129,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M1_autonomous_Schaefer,14.717620085667452,14.322414089874213,15.721753583629825,15.223469491436903,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M1b_autonomous_Allee,13.467474909553523,15.745286130352664,15.721753583629825,15.223469491436903,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M2_stockflow_regimeC,14.717620085667452,14.322414089874213,15.721753583629825,15.223469491436903,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M3_AR_residual,14.508231336703435,14.328796141629406,15.721753583629825,15.223469491436903,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,34,M4_delayed_info,12.969765697500408,14.280855597807099,15.721753583629825,15.223469491436903,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M1_autonomous_Schaefer,12.343004140911571,12.393650257213656,19.862574746819075,15.542176118112883,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M1b_autonomous_Allee,18.570776586010275,22.928493520112575,19.862574746819075,15.542176118112883,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M2_stockflow_regimeC,12.343004140911571,12.393650257213656,19.862574746819075,15.542176118112883,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M3_AR_residual,12.42697805081607,12.398788995481041,19.862574746819075,15.542176118112883,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,35,M4_delayed_info,12.341553674259677,12.393781687696903,19.862574746819075,15.542176118112883,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,36,M1_autonomous_Schaefer,12.80673212695029,13.640568912705099,19.930955924736917,18.680711031812177,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,36,M1b_autonomous_Allee,16.980178234573934,29.346016552757316,19.930955924736917,18.680711031812177,False
