tag,origin,horizon,model,obs,pred,r_used,r_hi,r_lo,sqerr,abserr,log_sqerr,below_lrp_obs,below_lrp_pred,post_break_origin
xteNCAM,2012,1,M_cap_regime1991,167.0,107.60226120942492,0.001,0.592745911942223,0.001,3528.091373433387,59.397738790575076,0.1932060925277785,1,1,1
xteNCAM,2012,5,M_cap_regime1991,451.0,75.69586197682264,0.001,0.592745911942223,0.001,140853.19601732015,375.30413802317736,3.185310588708531,0,1,1
xteNCAM,2013,1,M_cap_regime1991,238.0,162.28868738003456,0.001,0.592749106066758,0.001,5732.202858638138,75.71131261996544,0.14660774132984844,1,1,1
xteNCAM,2013,5,M_cap_regime1991,369.0,125.98706664876745,0.001,0.592749106066758,0.001,59055.2857759706,243.01293335123256,1.1548025305966194,0,1,1
xteNCAM,2014,1,M_cap_regime1991,273.0,233.78511652358213,0.001,0.5927524749844651,0.001,1537.8070860690311,39.21488347641787,0.024046521044024625,1,1,1
xteNCAM,2014,5,M_cap_regime1991,400.0,191.6543029096469,0.001,0.5927524749844651,0.001,43407.92949606517,208.3456970903531,0.5413594112273519,0,1,1
xteNCAM,2015,1,M_cap_regime1991,339.0,263.1457867948385,0.001,0.5927411581684966,0.001,5753.8616609740975,75.8542132051615,0.0641567898319245,0,1,1
xteNCAM,2015,5,M_cap_regime1991,414.0,220.95912851595335,0.001,0.5927411581684966,0.001,37264.77806332021,193.04087148404665,0.3942436271783123,0,1,1
xteNCAM,2016,1,M_cap_regime1991,451.0,326.4237444474795,0.001,0.5927643460886185,0.001,15519.24344748689,124.57625555252048,0.10450412171904482,0,0,1
xteNCAM,2016,5,M_cap_regime1991,423.0,286.3593714421983,0.001,0.5927643460886185,0.001,18670.661372671126,136.64062855780168,0.15219721406814274,0,0,1
xteNCAM,2017,1,M_cap_regime1991,369.0,441.93437548020927,0.001,0.592744290160825,0.001,5319.423126688151,72.93437548020927,0.032531444936361745,0,0,1
xteNCAM,2017,5,M_cap_regime1991,462.0,399.20910303027193,0.001,0.592744290160825,0.001,3942.6967422630055,62.79089696972807,0.021339233094137003,0,0,1
xteNCAM,2018,1,M_cap_regime1991,400.0,358.8254156957242,0.001,0.5927484079287506,0.001,1695.346392629916,41.17458430427581,0.011800169296535745,0,0,1
xteNCAM,2018,5,M_cap_regime1991,425.0,313.3469586530818,0.001,0.5927484079287506,0.001,12466.401642016624,111.6530413469182,0.0928896891490517,0,0,1
xteNCAM,2019,1,M_cap_regime1991,414.0,390.0923146239779,0.001,0.5927236045272919,0.001,571.5774200388597,23.907685376022073,0.0035381747713671015,0,0,1
xteNCAM,2019,5,M_cap_regime1991,342.0,341.9698750523837,0.001,0.5927236045272919,0.001,0.0009075124688840111,0.03012494761628659,7.759587678616647e-09,0,0,1
xteNCAM,2020,1,M_cap_regime1991,423.0,403.385910580712,0.001,0.5927561598603119,0.001,384.71250374782574,19.614089419288007,0.0022542061398003275,0,0,1
xteNCAM,2021,1,M_cap_regime1991,462.0,410.8946703008191,0.001,0.5927369062300071,0.001,2611.7547236619826,51.10532969918091,0.013742400718102368,0,0,1
xteNCAM,2022,1,M_cap_regime1991,425.0,449.4003812988813,0.001,0.5927454411137133,0.001,595.3786075307969,24.400381298881314,0.0031164350115716944,0,0,1
xteNCAM,2023,1,M_cap_regime1991,342.0,412.37316670860866,0.001,0.5927276927333629,0.001,4952.382592597627,70.37316670860866,0.035013126009525504,0,0,1
