catch,origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
annual,1992,5,M1_autonomous_Schaefer,14.382136887394294,0.001,1,1,206.81709817397285,14.381136887394295,91.65654012533345
annual,1992,1,M1b_autonomous_Allee,51.722208100489595,0.001,1,1,2675.083367374151,51.7212081004896,117.80155606771095
annual,1992,5,M1b_autonomous_Allee,14.382136887394294,0.001,1,1,206.81709817397285,14.381136887394295,91.65654012533345
annual,1992,1,M2_stockflow_regimeC,51.722208100489595,229.00167089731977,1,1,31428.00792953269,177.27946279683016,2.213673976674552
annual,1992,5,M2_stockflow_regimeC,14.382136887394294,1197.2649783563372,1,0,1399211.8166416402,1182.8828414689428,19.55238693669417
annual,1992,1,M3_AR_residual,51.722208100489595,463.98138046880007,1,1,169957.62520180433,412.2591723683105,4.813448093502805
annual,1992,5,M3_AR_residual,14.382136887394294,1377.621424925925,1,0,1858421.3564518,1363.2392880385307,20.813000421999067
annual,1992,1,M4_delayed_info,51.722208100489595,1232.076556499764,1,0,1393236.3877850757,1180.3543483992744,10.052508010953245
annual,1992,5,M4_delayed_info,14.382136887394294,1434.3770707950216,1,0,2016385.6123233265,1419.9949339076272,21.182996992881133
annual,1993,1,M1_autonomous_Schaefer,12.428634093269375,0.001,1,1,154.44608915619133,12.427634093269376,88.88262638514527
annual,1993,5,M1_autonomous_Schaefer,16.36586024430048,0.001,1,1,267.8086508154864,16.36486024430048,94.14729210091244
annual,1993,1,M1b_autonomous_Allee,12.428634093269375,0.001,1,1,154.44608915619133,12.427634093269376,88.88262638514527
annual,1993,5,M1b_autonomous_Allee,16.36586024430048,0.001,1,1,267.8086508154864,16.36486024430048,94.14729210091244
annual,1993,1,M2_stockflow_regimeC,12.428634093269375,90.95795410183828,1,1,6166.85410100822,78.5293200085689,3.96166964992751
annual,1993,5,M2_stockflow_regimeC,16.36586024430048,700.3810926050359,1,1,467876.8381015108,684.0152323607354,14.110744799774476
annual,1993,1,M3_AR_residual,12.428634093269375,126.85840340348216,1,1,13094.172104388514,114.42976931021278,5.396647344214624
annual,1993,5,M3_AR_residual,16.36586024430048,852.4717503459716,1,1,699073.0594627077,836.1058901016711,15.625755187102495
annual,1993,1,M4_delayed_info,12.428634093269375,425.70559091621124,1,1,170797.84304083177,413.2769568229419,12.48735368713965
annual,1993,5,M4_delayed_info,16.36586024430048,1364.5142948853309,1,0,1817504.2018250609,1348.1484346410305,19.566081343336293
annual,1994,1,M1_autonomous_Schaefer,24.655417635131794,0.001,1,1,607.8403089274975,24.654417635131793,102.26775175306109
annual,1994,5,M1_autonomous_Schaefer,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
annual,1994,1,M1b_autonomous_Allee,24.655417635131794,0.001,1,1,607.8403089274975,24.654417635131793,102.26775175306109
annual,1994,5,M1b_autonomous_Allee,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
annual,1994,1,M2_stockflow_regimeC,24.655417635131794,21.978526429944495,1,1,7.165746524409113,2.6768912051872995,0.013209078071133955
annual,1994,5,M2_stockflow_regimeC,34.59,188.65170434466353,1,1,23735.008745582516,154.06170434466353,2.8775621279665935
annual,1994,1,M3_AR_residual,24.655417635131794,38.48103000108573,1,1,191.14755729361832,13.825612365953933,0.19817520166071162
annual,1994,5,M3_AR_residual,34.59,315.04459597219727,1,1,78654.7804019284,280.45459597219724,4.880341868452223
annual,1994,1,M4_delayed_info,24.655417635131794,183.05812030747873,1,1,25091.41621390395,158.40270267234695,4.019251271756713
annual,1994,5,M4_delayed_info,34.59,1048.9266239974252,1,0,1028878.7867824938,1014.3366239974251,11.641457629024309
annual,1995,1,M1_autonomous_Schaefer,22.06557242470699,0.001,1,1,486.84535628514,22.064572424706988,100.03548042705856
annual,1995,5,M1_autonomous_Schaefer,41.225409228030266,0.001,1,1,1699.4519162001072,41.22440922803027,112.92909235044559
annual,1995,1,M1b_autonomous_Allee,22.06557242470699,0.001,1,1,486.84535628514,22.064572424706988,100.03548042705856
annual,1995,5,M1b_autonomous_Allee,41.225409228030266,0.001,1,1,1699.4519162001072,41.22440922803027,112.92909235044559
annual,1995,1,M2_stockflow_regimeC,22.06557242470699,42.37623076973339,1,1,412.52284240839055,20.3106583450264,0.4258463323257401
annual,1995,5,M2_stockflow_regimeC,41.225409228030266,354.326538083225,1,1,98032.31689039724,313.1011288551947,4.627507057554405
annual,1995,1,M3_AR_residual,22.06557242470699,41.51282631780739,1,1,378.1956839827086,19.4472538931004,0.39940360226181104
annual,1995,5,M3_AR_residual,41.225409228030266,348.28289545804006,1,1,94284.29984989265,307.0574862300098,4.553786444294112
annual,1995,1,M4_delayed_info,22.06557242470699,36.27393993869701,1,1,201.87770741260704,14.208367513990023,0.2470895110025799
annual,1995,5,M4_delayed_info,41.225409228030266,304.5872518979467,1,1,69359.46017449381,263.3618426699164,3.999611179647059
annual,1996,1,M1_autonomous_Schaefer,14.382136887394294,0.001,1,1,206.81709817397285,14.381136887394295,91.65654012533345
annual,1996,5,M1_autonomous_Schaefer,36.0890539538104,0.001,1,1,1302.3476381731305,36.0880539538104,110.11868168557032
annual,1996,1,M1b_autonomous_Allee,14.382136887394294,0.001,1,1,206.81709817397285,14.381136887394295,91.65654012533345
annual,1996,5,M1b_autonomous_Allee,36.0890539538104,0.001,1,1,1302.3476381731305,36.0880539538104,110.11868168557032
annual,1996,1,M2_stockflow_regimeC,14.382136887394294,38.74252882698472,1,1,593.428695450462,24.36039193959042,0.9819838648669029
annual,1996,5,M2_stockflow_regimeC,36.0890539538104,300.2996119289537,1,1,69807.21894553657,264.21055797514333,4.489275631900775
annual,1996,1,M3_AR_residual,14.382136887394294,44.0024061786419,1,1,877.3603528860258,29.620269291247602,1.2504995583069034
annual,1996,5,M3_AR_residual,36.0890539538104,338.0409878236935,1,1,91174.97036776227,301.95193386988313,5.0049633861853735
annual,1996,1,M4_delayed_info,14.382136887394294,82.66819829955415,1,1,4662.986183185267,68.28606141215985,3.058469475899168
annual,1996,5,M4_delayed_info,36.0890539538104,612.1801873166561,1,1,331880.993939288,576.0911333628457,8.014770824415237
annual,1997,1,M1_autonomous_Schaefer,16.36586024430048,0.001,1,1,267.8086508154864,16.36486024430048,94.14729210091244
annual,1997,5,M1_autonomous_Schaefer,35.563900400573665,0.001,1,1,1264.7198849011227,35.56290040057367,109.81125112201138
annual,1997,1,M1b_autonomous_Allee,16.36586024430048,0.001,1,1,267.8086508154864,16.36486024430048,94.14729210091244
annual,1997,5,M1b_autonomous_Allee,35.563900400573665,0.001,1,1,1264.7198849011227,35.56290040057367,109.81125112201138
annual,1997,1,M2_stockflow_regimeC,16.36586024430048,21.36891972695497,1,1,25.030604186979005,5.003059482654489,0.07115025131990925
annual,1997,5,M2_stockflow_regimeC,35.563900400573665,134.10775714944728,1,1,9710.891702942525,98.54385674887362,1.7617585919410161
annual,1997,1,M3_AR_residual,16.36586024430048,27.01357740580875,1,1,113.37388075147769,10.647717161508268,0.2511434382844913
annual,1997,5,M3_AR_residual,35.563900400573665,180.62321402544762,1,1,21042.204469319546,145.05931362487397,2.640891771232706
annual,1997,1,M4_delayed_info,16.36586024430048,73.21384925892055,1,1,3231.693855006364,56.84798901462007,2.2445646702705493
annual,1997,5,M4_delayed_info,35.563900400573665,545.4520497482441,1,1,259985.92484519226,509.88814934767043,7.454449684532704
annual,1998,1,M1_autonomous_Schaefer,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
annual,1998,5,M1_autonomous_Schaefer,24.439312101280848,0.001,1,1,597.2310983596099,24.438312101280847,102.08977057131303
annual,1998,1,M1b_autonomous_Allee,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
annual,1998,5,M1b_autonomous_Allee,24.439312101280848,0.001,1,1,597.2310983596099,24.438312101280847,102.08977057131303
annual,1998,1,M2_stockflow_regimeC,34.59,20.898029450469384,1,1,187.47005752921382,13.69197054953062,0.25392503925915166
annual,1998,5,M2_stockflow_regimeC,24.439312101280848,149.35827476964363,1,1,15604.747234139813,124.91896266836278,3.2766609823588158
annual,1998,1,M3_AR_residual,34.59,22.9837340357723,1,1,134.7054096323904,11.606265964227703,0.16709934949610136
annual,1998,5,M3_AR_residual,24.439312101280848,166.61896679423174,1,1,20215.05420860675,142.1796546929509,3.6845439088729828
annual,1998,1,M4_delayed_info,34.59,33.04119229550589,1,1,2.398805305500334,1.5488077044941164,0.0020985184005253145
annual,1998,5,M4_delayed_info,24.439312101280848,259.7432101878346,1,1,55367.92445472728,235.30389808655377,5.586134624668198
annual,1999,1,M1_autonomous_Schaefer,41.225409228030266,0.001,1,1,1699.4519162001072,41.22440922803027,112.92909235044559
annual,1999,5,M1_autonomous_Schaefer,35.68079125661441,0.001,1,1,1273.0475041155785,35.679791256614415,109.88003391716043
annual,1999,1,M1b_autonomous_Allee,41.225409228030266,0.001,1,1,1699.4519162001072,41.22440922803027,112.92909235044559
annual,1999,5,M1b_autonomous_Allee,35.68079125661441,0.001,1,1,1273.0475041155785,35.679791256614415,109.88003391716043
