year,bc_bil,ef_bil,earths,carbon_share,tau_all,pmin_all,prem_all,tau_noc,pmin_noc,prem_noc,r_crop,r_graz,r_forest,r_fish,r_built,tau_all_national,sum_bc_bil,sum_ef_bil
1995,11.203246919239001,14.72373634652704,1.3142383143624559,0.5470538995379829,277.7274075874614,0.0,277.7274075874614,613.1577406322122,365.0,248.15774063221215,1.0,1.38467557718073,2.972456905197661,1.9421731532666509,1.0,284.94119605588537,10.893506742242497,13.954212363657922
1996,11.380988408154847,15.080631850535271,1.3250722441408964,0.5478105357976081,275.45667914631014,0.0,275.45667914631014,609.162090125613,365.0,244.16209012561296,1.0,1.406723850588864,3.003828484215302,1.9059235814344502,1.0,282.2108610585908,11.073477985212344,14.321984098845045
1997,11.432130692734994,15.302934828814008,1.3385899129493746,0.5464503685849609,272.6749966281901,0.0,272.6749966281901,601.2021127157917,365.0,236.2021127157917,1.0,1.3926761175823779,2.9266277221342216,1.895914595915336,1.0,279.44173491690145,11.123125089320327,14.528755551883608
1998,11.497594350474792,15.34141879177179,1.3343155380271585,0.544443447080185,273.5484895421871,0.0,273.5484895421871,600.4709794841561,365.0,235.47097948415615,1.0,1.403176947488902,2.953305585750053,1.8911463858098054,1.0,280.4301976914961,11.19332139531881,14.568909992303793
1999,11.537781379996263,15.419289269678337,1.3364171812452328,0.5398732157467857,273.11830850595925,0.0,273.11830850595925,593.5718542210712,364.99999999999886,228.57185422107239,0.9999999999999969,1.388538221531726,2.8886887239250805,1.8817013609358038,1.0,278.17986647889603,11.23116300814433,14.73641694440772
2000,11.528405414513292,15.77903918977579,1.3687096022760707,0.5457049687481285,266.6745373839928,0.0,266.6745373839928,587.0073829536171,365.0,222.00738295361714,1.0,1.3684429561014173,2.7868759354499857,1.9009723237109515,1.0,271.4428303329798,11.223493061973251,15.091851800229737
2001,11.609674693133556,15.946455042720197,1.3735488258040163,0.5491176311117892,265.73500202029203,0.0,265.73500202029203,589.3665850708322,365.0,224.36658507083223,1.0,1.3825303847101929,2.876108082490862,1.8838645709137223,1.0,269.5461618036197,11.29300370747109,15.292172315293543
2002,11.566301767144584,16.105039157330395,1.392410424832475,0.5531045060099115,262.1353542680594,0.0,262.1353542680594,586.5696964800303,365.0,221.5696964800303,1.0,1.3700181759022754,2.8164379010222467,1.8797169966460505,1.0,268.6424705361911,11.244560901598094,15.277795506017666
2003,11.586996348336337,16.72693388910339,1.4435953362067855,0.5631135845914912,252.84093876271444,0.0,252.84093876271444,578.7338077937181,365.0,213.73380779371814,1.0,1.3620337827463063,2.756685744564151,1.8192600017567797,1.0,260.25301218648315,11.259040886532528,15.79059504079704
2004,11.810747161201078,17.592705103283613,1.4895505646820184,0.5685860433664112,245.0403555638397,0.0,245.0403555638397,567.9935750710052,365.0,202.99357507100524,1.0,1.3755734716523729,2.6992132298589238,1.7600499898602155,1.0,251.34037267486192,11.488265270002763,16.683419296809205
2005,11.767866166485698,18.029028104529438,1.5320558416848096,0.5787670035097905,238.24196877746155,0.0,238.24196877746155,565.5823992007684,365.0,200.58239920076835,1.0,1.37257796026815,2.654118601834154,1.760702599723732,1.0,245.02125528664732,11.44328810850457,17.046685009909776
2006,11.779852486952121,18.47263639904728,1.568155154702351,0.5888827460876155,232.7575807186503,0.0,232.7575807186503,566.158628721174,365.0,201.15862872117395,1.0,1.3565919272382556,2.695167943914613,1.744667445481745,1.0,240.10383963050234,11.458307431213095,17.41863944711974
2007,11.84851546436334,19.028576780780888,1.6059882639317091,0.5954723195121429,227.27438811191757,0.0,227.27438811191757,561.8265425936403,365.0,196.82654259364028,1.0000000000000029,1.3507507170119843,2.6622709039608994,1.7594016388452982,1.0,234.72864333640288,11.517722673063997,17.9099095701048
2008,12.039414076743734,19.258229287540647,1.5995985489643834,0.5954467645446294,228.1822525009849,0.0,228.1822525009849,564.0351689293497,365.0,199.03516892934965,1.0,1.3519656221985537,2.785034399545152,1.7933699789934494,1.0,236.65348235562027,11.73350959535065,18.097054645776595
2009,12.016086430744588,18.936778174242463,1.575952227323404,0.5933567381977579,231.60600535456317,0.0,231.60600535456317,569.5557435971909,365.0,204.55574359719094,1.0,1.348426920995605,2.8950039889879826,1.8088336965113845,1.0,239.82332067028898,11.696485179831289,17.80150937242577
2010,12.038038081523407,19.91053339553818,1.6539683012049846,0.6058668744426289,220.68137565519385,0.0,220.68137565519385,559.9158288030545,365.0,194.91582880305452,1.0,1.3539034427999412,2.7105902888381017,1.7937442970343602,1.0,229.25007455672795,11.727279729449265,18.67156252631788
2011,12.07076597341275,20.311271121039137,1.6826828691548696,0.6082784748296106,216.915502434111,0.0,216.915502434111,553.7492542431974,365.0,188.74925424319736,1.0000000000000027,1.3420131911422357,2.645362929397928,1.7785040271071257,1.0,225.92019735477623,11.736818059350783,18.962176210105316
2012,12.037896682928855,20.166925731169012,1.6752864941736931,0.6049072021684267,217.8731824493279,0.0,217.8731824493279,551.4481247066583,365.0,186.4481247066583,1.0,1.33966249388797,2.631007558651033,1.740950159980149,1.0,227.0778103453522,11.72958973217054,18.85389085675529
2013,12.233516313898114,20.602785165685866,1.684126185557924,0.6008732416649593,216.72960323877476,0.0,216.72960323877476,543.0094542968338,365.0,178.00945429683384,1.0,1.3347980982955048,2.597155361002465,1.6775432971183104,1.0,225.74152061210268,12.355724700473482,19.977891100601703
