Tr,exact mobilising,Euler mobilising,exact protective,Euler protective
69.573933,0.649666,0.923755,0.341038,59.815981
70.698360,0.643264,0.919387,0.335540,60.765196
71.840959,0.636817,0.914916,0.330057,61.729358
73.002025,0.630324,0.910343,0.324591,62.708715
74.181856,0.623788,0.905665,0.319142,63.703520
75.380754,0.617210,0.900883,0.313713,64.714030
76.599029,0.610591,0.895996,0.308305,65.740508
77.836993,0.603932,0.891003,0.302920,66.783221
79.094964,0.597234,0.980917,0.297557,67.842440
80.373266,0.590499,1.257103,0.292221,68.918441
81.672228,0.583729,1.434858,0.286910,70.011507
82.992183,0.576924,1.589254,0.281628,71.121925
84.333471,0.570086,1.732472,0.276375,72.249986
85.696436,0.563217,1.869335,0.271153,73.395988
87.081428,0.556318,2.002325,0.265964,74.560233
88.488805,0.549390,2.132917,0.260808,75.743030
89.918927,0.542436,2.262067,0.255687,76.944692
91.372162,0.535456,2.390440,0.250602,78.165538
92.848883,0.528453,2.518516,0.245555,79.405893
94.349471,0.521428,2.646658,0.240547,80.666089
95.874311,0.514382,2.775149,0.235580,81.946461
97.423794,0.507318,2.904210,0.230654,83.247352
98.998320,0.500237,3.034024,0.225770,84.569111
100.598293,0.493140,3.164742,0.220931,85.912092
102.224123,0.486031,3.296487,0.216137,87.276656
103.876230,0.478909,3.429368,0.211389,88.663171
105.555038,0.471778,3.563475,0.206689,90.072011
107.260977,0.464639,3.698888,0.202037,91.503554
108.994488,0.457494,3.835677,0.197435,92.958189
110.756015,0.450345,3.973904,0.192883,94.436307
112.546011,0.443193,4.113624,0.188383,95.938309
114.364936,0.436041,4.254885,0.183936,97.464603
116.213258,0.428891,4.397734,0.179542,99.015600
118.091452,0.421745,4.542209,0.175202,100.591723
120.000000,0.414604,4.688349,0.170917,102.193398
