stockid,n,freq_cyc_per_yr,power_norm
ANCHIXa,33,0.18333055,0.0018507966
ANCHIXa,33,0.18365369,0.0018142816
ANCHIXa,33,0.18397682,0.0017784232
ANCHIXa,33,0.18429995,0.0017432651
ANCHIXa,33,0.18462308,0.0017088477
ANCHIXa,33,0.18494621,0.0016752075
ANCHIXa,33,0.18526935,0.0016423774
ANCHIXa,33,0.18559248,0.0016103872
ANCHIXa,33,0.18591561,0.0015792631
ANCHIXa,33,0.18623874,0.0015490283
ANCHIXa,33,0.18656187,0.0015197030
ANCHIXa,33,0.18688501,0.0014913045
ANCHIXa,33,0.18720814,0.0014638474
ANCHIXa,33,0.18753127,0.0014373440
ANCHIXa,33,0.18785440,0.0014118040
ANCHIXa,33,0.18817754,0.0013872349
ANCHIXa,33,0.18850067,0.0013636423
ANCHIXa,33,0.18882380,0.0013410296
ANCHIXa,33,0.18914693,0.0013193987
ANCHIXa,33,0.18947006,0.0012987499
ANCHIXa,33,0.18979320,0.0012790817
ANCHIXa,33,0.19011633,0.0012603917
ANCHIXa,33,0.19043946,0.0012426759
ANCHIXa,33,0.19076259,0.0012259294
ANCHIXa,33,0.19108572,0.0012101463
ANCHIXa,33,0.19140886,0.0011953199
ANCHIXa,33,0.19173199,0.0011814425
ANCHIXa,33,0.19205512,0.0011685060
ANCHIXa,33,0.19237825,0.0011565016
ANCHIXa,33,0.19270138,0.0011454200
ANCHIXa,33,0.19302452,0.0011352514
ANCHIXa,33,0.19334765,0.0011259859
ANCHIXa,33,0.19367078,0.0011176131
ANCHIXa,33,0.19399391,0.0011101224
ANCHIXa,33,0.19431704,0.0011035031
ANCHIXa,33,0.19464018,0.0010977444
ANCHIXa,33,0.19496331,0.0010928352
ANCHIXa,33,0.19528644,0.0010887647
ANCHIXa,33,0.19560957,0.0010855217
ANCHIXa,33,0.19593271,0.0010830953
ANCHIXa,33,0.19625584,0.0010814743
ANCHIXa,33,0.19657897,0.0010806478
ANCHIXa,33,0.19690210,0.0010806048
ANCHIXa,33,0.19722523,0.0010813344
ANCHIXa,33,0.19754837,0.0010828255
ANCHIXa,33,0.19787150,0.0010850674
ANCHIXa,33,0.19819463,0.0010880490
ANCHIXa,33,0.19851776,0.0010917595
ANCHIXa,33,0.19884089,0.0010961879
ANCHIXa,33,0.19916403,0.0011013233
ANCHIXa,33,0.19948716,0.0011071544
ANCHIXa,33,0.19981029,0.0011136702
ANCHIXa,33,0.20013342,0.0011208591
ANCHIXa,33,0.20045655,0.0011287097
ANCHIXa,33,0.20077969,0.0011372101
ANCHIXa,33,0.20110282,0.0011463483
ANCHIXa,33,0.20142595,0.0011561117
ANCHIXa,33,0.20174908,0.0011664876
ANCHIXa,33,0.20207221,0.0011774628
ANCHIXa,33,0.20239535,0.0011890233
ANCHIXa,33,0.20271848,0.0012011550
ANCHIXa,33,0.20304161,0.0012138428
ANCHIXa,33,0.20336474,0.0012270712
ANCHIXa,33,0.20368788,0.0012408236
ANCHIXa,33,0.20401101,0.0012550830
ANCHIXa,33,0.20433414,0.0012698311
ANCHIXa,33,0.20465727,0.0012850490
ANCHIXa,33,0.20498040,0.0013007165
ANCHIXa,33,0.20530354,0.0013168124
ANCHIXa,33,0.20562667,0.0013333145
ANCHIXa,33,0.20594980,0.0013501991
ANCHIXa,33,0.20627293,0.0013674413
ANCHIXa,33,0.20659606,0.0013850150
