origin,horizon,model,target,obs,pred,sqerr,abserr
1954,5,M2_Rar,H,672.0067857142857,635.0459502438039,1366.1033586760263,36.96083547048181
1954,5,M2_enso,H,672.0067857142857,632.6533398450892,1548.6937017797738,39.353445869196435
1954,5,M2_precip,H,672.0067857142857,626.9911614455859,2026.4064283007501,45.01562426869975
1954,5,M2_combo,H,672.0067857142857,621.8905829686062,2511.633777646055,50.116202745679516
1954,5,M2_precip_oracle,H,672.0067857142857,642.732374323931,856.9911622517266,29.274411390354658
1955,1,M2_Rar,R,43.7,378.52438539824567,112107.36905731296,334.8243853982457
1955,1,M2_enso,R,43.7,249.4458883505166,42331.37057314325,205.74588835051662
1955,1,M2_precip,R,43.7,346.4669611692588,91667.83277566748,302.7669611692588
1955,1,M2_combo,R,43.7,248.44145346207867,41919.06276576452,204.74145346207865
1955,1,M2_precip_oracle,R,43.7,-13.608699200278807,3284.2870040280372,57.30869920027881
1955,1,R_persist,R,43.7,192.0,21992.890000000003,148.3
1955,1,R_mean,R,43.7,430.05909090909097,149273.34712809924,386.359090909091
1955,1,naive_persist,H,623.1509836065574,630.8421546961325,59.15411272911681,7.691171089575164
1955,1,M1,H,623.1509836065574,610.1641335375942,168.65827471372745,12.986850068963122
1955,1,M2_Rar,H,623.1509836065574,630.2942183958304,51.02580325468062,7.143234789273038
1955,1,M2_enso,H,623.1509836065574,628.3225249357375,26.744839719418625,5.171541329180172
1955,1,M2_precip,H,623.1509836065574,629.8045364182324,44.26976501774847,6.653552811675013
1955,1,M2_combo,H,623.1509836065574,628.3071820417163,26.58638230273508,5.156198435158899
1955,1,M2_precip_oracle,H,623.1509836065574,624.3043265387608,1.3301999192637355,1.1533429322034863
1955,5,M2_Rar,R,824.8,378.52438539824567,199161.92418817352,446.2756146017543
1955,5,M2_enso,R,824.8,249.4458883505166,331032.35379196616,575.3541116494833
1955,5,M2_precip,R,824.8,346.4669611692588,228802.4960370513,478.33303883074115
1955,5,M2_combo,R,824.8,248.44145346207867,332189.1741673051,576.3585465379213
1955,5,M2_precip_oracle,R,824.8,655.4443290413144,28681.34328586657,169.35567095868555
1955,5,R_persist,R,824.8,192.0,400435.83999999997,632.8
1955,5,R_mean,R,824.8,430.05909090909097,155820.38530991727,394.740909090909
1955,5,naive_persist,H,671.7045205479452,630.8421546961325,1669.7329430073873,40.86236585181268
1955,5,M1,H,671.7045205479452,610.0,3807.4478560517923,61.70452054794521
1955,5,M2_Rar,H,671.7045205479452,628.5646415582869,1861.0491592423627,43.139878989658314
1955,5,M2_enso,H,671.7045205479452,620.3692404565702,2635.310982059924,51.33528009137501
1955,5,M2_precip,H,671.7045205479452,626.5292642037823,2040.8037857608306,45.175256344162904
1955,5,M2_combo,H,671.7045205479452,620.3054672721933,2641.8626776435876,51.39905327575195
1955,5,M2_precip_oracle,H,671.7045205479452,641.5198590714746,911.1137884491305,30.184661476470637
1956,1,M2_Rar,R,1142.6,307.2735800642487,697770.227842679,835.3264199357512
1956,1,M2_enso,R,1142.6,328.34938910766925,663004.0573385337,814.2506108923307
1956,1,M2_precip,R,1142.6,186.36905354113023,914377.6229656256,956.2309464588697
1956,1,M2_combo,R,1142.6,162.1406254484728,961300.5851459719,980.4593745515272
1956,1,M2_precip_oracle,R,1142.6,845.2300834158235,88428.86728928002,297.3699165841764
1956,1,R_persist,R,1142.6,43.7,1207581.2099999997,1098.8999999999999
1956,1,R_mean,R,1142.6,413.2608695652175,531935.5671833645,729.3391304347824
1956,1,naive_persist,H,637.1188767123288,623.1509836065574,195.10203781425608,13.967893105771395
1956,1,M1,H,637.1188767123288,610.0,735.4334741384869,27.118876712328756
1956,1,M2_Rar,H,637.1188767123288,620.9771324272555,260.5559085646961,16.141744285073287
1956,1,M2_enso,H,637.1188767123288,621.2903053416313,250.54367163726238,15.828571370697432
1956,1,M2_precip,H,637.1188767123288,619.1805692275005,321.78287542024395,17.938307484828215
1956,1,M2_combo,H,637.1188767123288,618.8205504296035,334.8287447490744,18.29832628272527
1956,1,M2_precip_oracle,H,637.1188767123288,628.9708187248937,66.39084896660485,8.148057987435095
1956,5,M2_Rar,R,717.1,307.2735800642487,167957.69447735482,409.82641993575135
1956,5,M2_enso,R,717.1,328.34938910766925,151127.03746916036,388.75061089233077
1956,5,M2_precip,R,717.1,186.36905354113023,281675.33752912766,530.7309464588698
1956,5,M2_combo,R,717.1,162.1406254484728,307979.9074026222,554.9593745515272
1956,5,M2_precip_oracle,R,717.1,494.2383879169853,49667.29814024014,222.86161208301473
1956,5,R_persist,R,717.1,43.7,453467.56,673.4
1956,5,R_mean,R,717.1,413.2608695652175,92318.21718336479,303.83913043478253
1956,5,naive_persist,H,674.8342465753425,623.1509836065574,2671.1596711005964,51.68326296878513
1956,5,M1,H,674.8342465753425,610.0,4203.4795289923095,64.83424657534249
1956,5,M2_Rar,H,674.8342465753425,614.365128037904,3656.5142966947856,60.469118537438476
1956,5,M2_enso,H,674.8342465753425,615.6308503743355,3505.042121733406,59.20339620100697
1956,5,M2_precip,H,674.8342465753425,610.0,4203.4795289923095,64.83424657534249
1956,5,M2_combo,H,674.8342465753425,610.0,4203.4795289923095,64.83424657534249
1956,5,M2_precip_oracle,H,674.8342465753425,634.6580291354369,1614.1284477785748,40.1762174399056
1957,1,M2_Rar,R,1711.2,551.9578785078895,1343842.296241529,1159.2421214921105
1957,1,M2_enso,R,1711.2,595.7214155638038,1244292.4723357805,1115.4785844361963
1957,1,M2_precip,R,1711.2,556.0135020495743,1334455.845046969,1155.1864979504257
1957,1,M2_combo,R,1711.2,601.5322931495375,1231362.419626764,1109.6677068504625
1957,1,M2_precip_oracle,R,1711.2,740.1309024893809,942975.1921400883,971.0690975106191
1957,1,R_persist,R,1711.2,1142.6,323305.96000000014,568.6000000000001
1957,1,R_mean,R,1711.2,443.65000000000003,1606683.0025,1267.55
1957,1,naive_persist,H,666.7902486187845,637.1188767123288,880.3903108112122,29.67137190645576
1957,1,M1,H,666.7902486187845,636.4020567984504,923.4422021094204,30.3881918203341
1957,1,M2_Rar,H,666.7902486187845,639.1828604225749,762.1678830162147,27.607388196209627
1957,1,M2_enso,H,666.7902486187845,639.8616380537259,725.1500669645882,26.928610565058648
1957,1,M2_precip,H,666.7902486187845,639.2457636229481,758.6986536858597,27.544484995836456
1957,1,M2_combo,H,666.7902486187845,639.9517654517356,720.3041787079691,26.838483167048935
1957,1,M2_precip_oracle,H,666.7902486187845,642.1014462604032,609.5369618912131,24.68880235838128
1957,5,M2_Rar,R,239.4,551.9578785078895,97692.42741735264,312.55787850788954
1957,5,M2_enso,R,239.4,595.7214155638038,126964.95118939299,356.32141556380384
1957,5,M2_precip,R,239.4,556.0135020495743,100244.1096800958,316.6135020495743
1957,5,M2_combo,R,239.4,601.5322931495375,131139.7977417426,362.13229314953753
1957,5,M2_precip_oracle,R,239.4,246.64441437209814,52.48153959466201,7.244414372098134
1957,5,R_persist,R,239.4,1142.6,815770.2399999999,903.1999999999999
1957,5,R_mean,R,239.4,443.65000000000003,41718.062500000015,204.25000000000003
1957,5,naive_persist,H,663.4681043956044,637.1188767123288,694.281799505101,26.34922768327567
1957,5,M1,H,663.4681043956044,633.735010489264,884.0568732432566,29.7330939063404
1957,5,M2_Rar,H,663.4681043956044,645.0981613261555,337.454808374795,18.369943069448937
1957,5,M2_enso,H,663.4681043956044,647.7222905194071,247.93065462384754,15.745813876197303
1957,5,M2_precip,H,663.4681043956044,645.341342770082,328.5794870285143,18.126761625522477
1957,5,M2_combo,H,663.4681043956044,648.0707197035392,237.07945535544383,15.397384692065202
1957,5,M2_precip_oracle,H,663.4681043956044,643.9644873728072,380.3910769719464,19.503617022797243
1958,1,M2_Rar,R,690.4,1115.4302559212729,180650.71844850274,425.0302559212729
1958,1,M2_enso,R,690.4,553.7625950255645,18669.7804381479,136.63740497443553
1958,1,M2_precip,R,690.4,661.0725057218021,860.1019206377266,29.327494278197833
1958,1,M2_combo,R,690.4,969.7489327556482,78035.82623171966,279.3489327556482
1958,1,M2_precip_oracle,R,690.4,707.1188813253531,279.52099277124046,16.718881325353095
1958,1,R_persist,R,690.4,1711.2,1042032.6400000001,1020.8000000000001
1958,1,R_mean,R,690.4,494.35200000000003,38434.81830399998,196.04799999999994
1958,1,naive_persist,H,672.0067857142857,666.7902486187845,27.21225926873975,5.216537095501167
1958,1,M1,H,672.0067857142857,665.912870172146,37.135806634731935,6.093915542139712
1958,1,M2_Rar,H,672.0067857142857,679.3510622199053,53.93839739099651,7.344276505619632
1958,1,M2_enso,H,672.0067857142857,668.0615319100679,15.56502757969524,3.9452538042178276
1958,1,M2_precip,H,672.0067857142857,670.2184630878735,3.1980978161378144,1.7883226264121959
1958,1,M2_combo,H,672.0067857142857,676.4228649460357,19.50175578109383,4.416079231750018
1958,1,M2_precip_oracle,H,672.0067857142857,671.1439960840326,0.7444059460723372,0.8627896302531326
1958,5,M2_Rar,R,170.7,1115.4302559212729,892515.2564530737,944.7302559212728
1958,5,M2_enso,R,170.7,553.7625950255645,146736.9517077196,383.06259502556446
1958,5,M2_precip,R,170.7,661.0725057218021,240465.1943678789,490.37250572180216
1958,5,M2_combo,R,170.7,969.7489327556482,638479.1969379403,799.0489327556481
1958,5,M2_precip_oracle,R,170.7,141.0769612272154,877.5244261338987,29.623038772784582
1958,5,R_persist,R,170.7,1711.2,2373140.25,1540.5
1958,5,R_mean,R,170.7,494.35200000000003,104750.61710400003,323.65200000000004
1958,5,naive_persist,H,651.8947323943662,666.7902486187845,221.87640359190928,14.895516224418316
1958,5,M1,H,651.8947323943662,663.4488470142361,133.4975646490912,11.554114619869893
