policy,uc,K,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
flat_0,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_0,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_0,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_0,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_0,UC_min,K_inst_660,1,664.315,684.97,"[[664.314631419828, 710.0]]","[[684.970203146974, 710.0]]"
flat_0,UC_min,K_inst_660,2,670.098,,"[[670.0975902653574, 710.0]]",
flat_0,UC_min,K_inst_660,3,677.849,,"[[677.8485682180515, 710.0]]",
flat_0,UC_min,K_inst_660,5,702.161,,"[[702.1614782974871, 710.0]]",
flat_0,UC_min,K_inst_660,8,,,,
flat_0,UC_min,K_inst_660,10,,,,
flat_0,UC_min,K_inst_660,15,,,,
flat_0,UC_min,K_inst_660,20,,,,
flat_0,UC_min,K_inst_660,inf,,,,
flat_0,UC_q05,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_0,UC_q05,K_phys_618,2,618.0,644.909,"[[618.0, 710.0]]","[[644.909, 710.0]]"
flat_0,UC_q05,K_phys_618,3,618.0,653.487,"[[618.0, 710.0]]","[[653.487, 710.0]]"
flat_0,UC_q05,K_phys_618,5,618.0,690.437,"[[618.0, 710.0]]","[[690.4366572197342, 710.0]]"
flat_0,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q05,K_inst_660,1,661.051,681.706,"[[661.0506875826468, 710.0]]","[[681.7062593097927, 710.0]]"
