origin,horizon,model,obs,pred,below_660_obs,below_660_pred,sqerr,abserr
1972,1,M2,681.9524657534247,664.4104480875998,0,0,307.7223837881134,17.542017665824915
1972,1,M2m,681.9524657534247,666.0978826617744,0,0,251.36780501004307,15.854583091650284
1972,1,M3,681.9524657534247,657.660640475266,0,1,590.0927753445919,24.29182527815874
1972,1,M4,681.9524657534247,651.2873563052357,0,1,940.3489374694111,30.665109448189014
1972,1,M2_oracle,681.9524657534247,680.7505136864997,0,0,1.4446887711851497,1.201952066924946
1972,5,naive_persist,686.50591160221,668.0121038251366,0,0,342.020926095339,18.493807777073357
1972,5,naive_mean,686.50591160221,661.739459405221,0,0,613.377154425736,24.766452196988894
1972,5,M1,686.50591160221,663.1400370080806,0,0,545.9640955485775,23.36587459412931
1972,5,M2,686.50591160221,657.5705861482961,0,1,837.2530591239138,28.935325453913833
1972,5,M2m,686.50591160221,662.4626078235285,0,0,578.0804565939569,24.043303778681434
1972,5,M3,686.50591160221,656.3255864368334,0,1,910.8520270878598,30.18032516537653
1972,5,M4,686.50591160221,653.7135586069769,0,1,1075.3384149639696,32.792352995233045
1972,5,M2_oracle,686.50591160221,670.207010224204,0,0,265.65418612996245,16.298901378005894
1973,1,naive_persist,678.2443561643836,681.9524657534247,0,0,13.75007672433856,3.7081095890411007
1973,1,naive_mean,678.2443561643836,662.244784563926,0,0,255.986291398168,15.999571600457557
1973,1,M1,678.2443561643836,677.8842868511337,0,0,0.12964991034428147,0.3600693132499373
1973,1,M2,678.2443561643836,691.1647572308898,0,0,166.9367637193746,12.920401066506201
1973,1,M2m,678.2443561643836,676.632179327624,0,0,2.5991141529840127,1.612176836759545
1973,1,M3,678.2443561643836,690.8498378797775,0,0,158.89816927713048,12.605481715393921
1973,1,M4,678.2443561643836,690.3832378909555,0,0,147.3524495717004,12.138881726571867
1973,1,M2_oracle,678.2443561643836,672.5878993970784,0,0,31.99550316039216,5.656456767305144
1973,5,naive_persist,673.2055807365439,681.9524657534247,0,0,76.50799749853401,8.74688501688081
1973,5,naive_mean,673.2055807365439,662.244784563926,0,0,120.13905273767405,10.960796172617847
1973,5,M1,673.2055807365439,668.6946504317422,0,0,20.34849221477852,4.510930304801718
1973,5,M2,673.2055807365439,708.8029274559343,0,0,1267.1710934604966,35.59734671939043
1973,5,M2m,673.2055807365439,666.4457758845922,0,0,45.69496163646954,6.759804851951685
1973,5,M3,673.2055807365439,708.7421385816455,0,0,1262.846943478251,35.53655784510158
1973,5,M4,673.2055807365439,708.5763188873981,0,0,1251.0891173362934,35.37073815085421
1973,5,M2_oracle,673.2055807365439,659.6798707933215,0,1,182.94482946818556,13.52570994322241
1974,1,naive_persist,679.3312054794521,678.2443561643836,0,0,1.1812414336649721,1.086849315068548
1974,1,naive_mean,679.3312054794521,662.6350180175958,0,0,278.7626757614479,16.69618746185631
1974,1,M1,679.3312054794521,674.9991887846757,0,0,18.76636864382218,4.332016694776485
1974,1,M2,679.3312054794521,671.1554740588891,0,0,66.84258426118127,8.175731420563011
1974,1,M2m,679.3312054794521,674.3293494246716,0,0,25.018563992744813,5.001856054780546
1974,1,M3,679.3312054794521,669.5057875560564,0,0,96.53883736938695,9.825417923395776
1974,1,M4,679.3312054794521,667.3221962807495,0,0,144.2163019345247,12.009009198702643
1974,1,M2_oracle,679.3312054794521,678.8752646901638,0,0,0.20788200333685627,0.45594078928832005
1974,5,naive_persist,682.3877534246575,678.2443561643836,0,0,17.167740856445263,4.1433972602739
1974,5,naive_mean,682.3877534246575,662.6350180175958,0,0,390.1705560613875,19.752735407061664
1974,5,M1,682.3877534246575,667.6514286987835,0,0,217.15926642640372,14.736324725873942
1974,5,M2,682.3877534246575,656.6663617416926,0,1,661.5899901084933,25.72139168296485
1974,5,M2m,682.3877534246575,666.3273864169496,0,0,257.9353884222723,16.060367007707896
1974,5,M3,682.3877534246575,656.311089044914,0,1,679.9924251737853,26.076664379743534
1974,5,M4,682.3877534246575,655.3985037539932,0,1,728.4195977854541,26.98924967066432
1974,5,M2_oracle,682.3877534246575,669.4721403084241,0,0,166.81306216822102,12.91561311623343
1975,1,naive_persist,678.1262191780822,679.3312054794521,0,0,1.4519919864891104,1.2049863013698996
1975,1,naive_mean,678.1262191780822,663.0325462904972,0,0,227.81896123742024,15.093672887585058
1975,1,M1,678.1262191780822,676.0872334293996,0,0,4.157462883330941,2.0389857486826486
1975,1,M2,678.1262191780822,679.7546982551365,0,0,2.6519441044036056,1.628479077054294
1975,1,M2m,678.1262191780822,675.2819728056467,0,0,8.089737427112942,2.8442463724355775
1975,1,M3,678.1262191780822,679.6066407009057,0,0,2.1916478852389396,1.4804215228234625
1975,1,M4,678.1262191780822,679.405819694792,0,0,1.6373774823637477,1.2796005167097064
1975,1,M2_oracle,678.1262191780822,677.5245571344293,0,0,0.3619972147726281,0.6016620436529365
1975,5,naive_persist,663.3322857142857,679.3312054794521,0,0,255.96543365223272,15.99891976516642
1975,5,naive_mean,663.3322857142857,663.0325462904972,0,0,0.0898437221730844,0.29973942378853735
1975,5,M1,663.3322857142857,668.5812226400502,0,0,27.551338850654044,5.248936925764497
1975,5,M2,663.3322857142857,680.6233113131099,0,0,298.97956625919204,17.29102559882415
1975,5,M2m,663.3322857142857,666.9767157217314,0,0,13.281870079170192,3.644430007445635
